NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,12.000000,8.000000,86,125,211,282.568606,0.801093
20,12.000000,8.000000,88,122,210,282.989691,0.794262
20,12.000000,8.000000,88,122,210,284.983315,0.795082
20,12.000000,8.000000,89,125,214,282.860238,0.809836
20,12.000000,8.000000,79,127,206,274.766764,0.802732
20,12.000000,8.000000,90,122,212,284.115709,0.800000
20,12.000000,8.000000,85,125,210,280.510949,0.802186
20,12.000000,8.000000,99,122,221,287.748132,0.814754
20,12.000000,8.000000,80,127,207,278.536765,0.797814
20,12.000000,8.000000,96,119,215,289.941046,0.798087
21,12.000000,8.000000,105,132,237,311.275120,0.810565
21,12.000000,8.000000,96,134,230,309.485294,0.797814
21,12.000000,8.000000,101,135,236,309.432958,0.819932
21,12.000000,8.000000,105,136,241,316.204507,0.807442
21,12.000000,8.000000,96,138,234,309.343653,0.802238
21,12.000000,8.000000,106,136,242,316.867462,0.814728
21,12.000000,8.000000,96,133,229,308.355641,0.792870
21,12.000000,8.000000,107,135,242,318.168320,0.807442
21,12.000000,8.000000,110,130,240,314.248722,0.811345
21,12.000000,8.000000,103,131,234,310.411460,0.807963
22,12.000000,8.000000,111,144,255,332.135231,0.820169
22,12.000000,8.000000,108,138,246,322.814863,0.813214
22,12.000000,8.000000,104,143,247,321.819417,0.814704
22,12.000000,8.000000,109,141,250,323.425450,0.823398
22,12.000000,8.000000,111,138,249,325.901821,0.813959
22,12.000000,8.000000,108,142,250,324.050225,0.826875
22,12.000000,8.000000,110,147,257,325.269412,0.841778
22,12.000000,8.000000,112,142,254,326.501916,0.831098
22,12.000000,8.000000,103,145,248,325.757912,0.810233
22,12.000000,8.000000,106,142,248,330.065455,0.800795
23,12.000000,8.000000,107,154,261,339.267758,0.832739
23,12.000000,8.000000,116,158,274,337.903897,0.861250
23,12.000000,8.000000,113,154,267,340.340097,0.836778
23,12.000000,8.000000,124,150,274,345.392633,0.843668
23,12.000000,8.000000,124,149,273,347.147130,0.844381
23,12.000000,8.000000,105,152,257,332.834769,0.827750
23,12.000000,8.000000,119,147,266,340.095383,0.838679
23,12.000000,8.000000,115,156,271,346.488153,0.838204
23,12.000000,8.000000,120,152,272,342.974236,0.849133
23,12.000000,8.000000,110,150,260,340.279851,0.824186
24,12.000000,8.000000,130,159,289,362.446602,0.850865
24,12.000000,8.000000,132,154,286,361.887640,0.844718
24,12.000000,8.000000,135,152,287,361.383028,0.852004
24,12.000000,8.000000,124,157,281,358.348432,0.839481
24,12.000000,8.000000,118,153,271,346.905275,0.834244
24,12.000000,8.000000,132,149,281,364.056637,0.824909
24,12.000000,8.000000,140,158,298,367.541702,0.862933
24,12.000000,8.000000,124,152,276,353.099913,0.834016
24,12.000000,8.000000,124,155,279,350.505721,0.845173
24,12.000000,8.000000,131,157,288,361.398857,0.848816
