NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,29.125000,57.250000,293,289,582,576.799350,1.000000
20,29.125000,57.250000,302,299,601,588.774090,1.000000
20,29.125000,57.250000,302,297,599,589.973089,1.000000
20,29.125000,57.250000,304,300,604,592.664879,1.000000
20,29.125000,57.250000,304,300,604,592.982833,1.000000
20,29.125000,57.250000,304,301,605,595.562130,1.000000
20,29.125000,57.250000,299,295,594,583.634899,1.000000
20,29.125000,57.250000,297,291,588,577.739597,1.000000
20,29.125000,57.250000,304,300,604,593.141937,1.000000
20,29.125000,57.250000,310,305,615,605.243345,1.000000
21,29.125000,57.250000,304,300,604,595.019739,1.000000
21,29.125000,57.250000,305,296,601,592.824179,1.000000
21,29.125000,57.250000,306,303,609,599.177419,1.000000
21,29.125000,57.250000,304,298,602,595.491892,1.000000
21,29.125000,57.250000,303,301,604,595.019739,1.000000
21,29.125000,57.250000,308,301,609,601.641902,1.000000
21,29.125000,57.250000,313,303,616,611.070728,1.000000
21,29.125000,57.250000,305,299,604,597.162851,1.000000
21,29.125000,57.250000,305,301,606,597.909628,1.000000
21,29.125000,57.250000,307,304,611,600.530179,1.000000
22,29.125000,57.250000,313,305,618,612.522895,1.000000
22,29.125000,57.250000,315,309,624,617.405751,1.000000
22,29.125000,57.250000,311,307,618,611.619469,1.000000
22,29.125000,57.250000,317,311,628,621.058217,1.000000
22,29.125000,57.250000,310,303,613,607.866502,1.000000
22,29.125000,57.250000,313,310,623,617.782759,1.000000
22,29.125000,57.250000,309,307,616,609.190862,1.000000
22,29.125000,57.250000,315,309,624,616.799411,1.000000
22,29.125000,57.250000,313,308,621,615.193406,1.000000
22,29.125000,57.250000,303,298,601,595.966995,1.000000
23,29.125000,57.250000,318,313,631,625.206921,1.000000
23,29.125000,57.250000,326,319,645,637.727273,1.000000
23,29.125000,57.250000,324,321,645,637.727273,1.000000
23,29.125000,57.250000,317,315,632,628.119953,1.000000
23,29.125000,57.250000,321,320,641,634.666902,1.000000
23,29.125000,57.250000,318,311,629,625.729378,1.000000
23,29.125000,57.250000,326,320,646,639.467074,1.000000
23,29.125000,57.250000,326,318,644,639.442321,1.000000
23,29.125000,57.250000,320,312,632,627.527247,1.000000
23,29.125000,57.250000,325,316,641,637.968550,1.000000
24,29.125000,57.250000,331,324,655,650.115254,1.000000
24,29.125000,57.250000,330,319,649,645.326692,1.000000
24,29.125000,57.250000,334,327,661,658.750170,1.000000
24,29.125000,57.250000,332,320,652,648.603398,1.000000
24,29.125000,57.250000,331,322,653,650.925102,1.000000
24,29.125000,57.250000,330,320,650,646.906866,1.000000
24,29.125000,57.250000,326,320,646,642.780245,1.000000
24,29.125000,57.250000,327,319,646,643.655172,1.000000
24,29.125000,57.250000,330,325,655,649.821550,1.000000
24,29.125000,57.250000,322,317,639,635.239475,1.000000
25,29.125000,57.250000,337,331,668,665.237266,1.000000
25,29.125000,57.250000,343,334,677,671.132178,1.000000
25,29.125000,57.250000,336,333,669,666.523301,1.000000
25,29.125000,57.250000,336,329,665,660.524316,1.000000
25,29.125000,57.250000,337,336,673,668.325374,1.000000
25,29.125000,57.250000,332,327,659,655.846204,1.000000
25,29.125000,57.250000,337,331,668,664.658547,1.000000
25,29.125000,57.250000,334,327,661,656.551238,1.000000
25,29.125000,57.250000,338,332,670,669.268559,1.000000
25,29.125000,57.250000,340,334,674,670.774418,1.000000
26,29.125000,57.250000,346,343,689,687.843475,1.000000
26,29.125000,57.250000,343,337,680,678.858582,1.000000
26,29.125000,57.250000,344,338,682,682.861111,1.000000
26,29.125000,57.250000,348,343,691,686.957376,1.000000
26,29.125000,57.250000,354,348,702,700.968730,1.000000
26,29.125000,57.250000,351,342,693,691.546560,1.000000
26,29.125000,57.250000,352,344,696,694.977545,1.000000
26,29.125000,57.250000,355,347,702,696.147561,1.000000
26,29.125000,57.250000,349,343,692,690.259119,1.000000
26,29.125000,57.250000,347,339,686,684.130790,1.000000
27,29.125000,57.250000,363,355,718,715.249597,1.000000
27,29.125000,57.250000,352,347,699,698.858559,1.000000
27,29.125000,57.250000,360,352,712,714.313096,1.000000
27,29.125000,57.250000,357,352,709,705.572810,1.000000
27,29.125000,57.250000,362,354,716,715.565534,1.000000
27,29.125000,57.250000,360,352,712,710.705455,1.000000
27,29.125000,57.250000,360,351,711,710.137659,1.000000
27,29.125000,57.250000,363,357,720,719.417594,1.000000
27,29.125000,57.250000,359,352,711,713.889657,1.000000
27,29.125000,57.250000,360,352,712,712.576869,1.000000
28,29.125000,57.250000,372,362,734,734.860492,1.000000
28,29.125000,57.250000,373,371,744,744.000000,1.000000
28,29.125000,57.250000,371,361,732,732.571875,1.000000
28,29.125000,57.250000,368,364,732,731.429017,1.000000
28,29.125000,57.250000,368,366,734,733.427457,1.000000
28,29.125000,57.250000,367,356,723,723.000000,1.000000
28,29.125000,57.250000,370,370,740,738.846454,1.000000
28,29.125000,57.250000,369,362,731,730.714787,1.000000
28,29.125000,57.250000,372,364,736,737.295015,1.000000
28,29.125000,57.250000,370,359,729,729.142299,1.000000
29,29.125000,57.250000,378,375,753,753.852292,1.000000
29,29.125000,57.250000,383,376,759,756.434366,1.000000
29,29.125000,57.250000,378,371,749,749.847765,1.000000
29,29.125000,57.250000,380,370,750,751.983752,1.000000
29,29.125000,57.250000,381,372,753,755.705560,1.000000
29,29.125000,57.250000,383,379,762,763.150406,1.000000
29,29.125000,57.250000,377,369,746,746.000000,1.000000
29,29.125000,57.250000,381,377,758,759.001132,1.000000
29,29.125000,57.250000,378,378,756,756.285014,1.000000
29,29.125000,57.250000,385,375,760,759.141728,1.000000
30,29.125000,57.250000,384,379,763,764.531849,1.000000
30,29.125000,57.250000,382,374,756,759.458371,1.000000
30,29.125000,57.250000,385,378,763,765.929786,1.000000
30,29.125000,57.250000,387,379,766,768.800731,1.000000
30,29.125000,57.250000,392,384,776,779.407245,1.000000
30,29.125000,57.250000,381,382,763,762.583288,1.000000
30,29.125000,57.250000,387,379,766,766.279155,1.000000
30,29.125000,57.250000,393,380,773,775.684518,1.000000
30,29.125000,57.250000,382,372,754,758.142857,1.000000
30,29.125000,57.250000,386,377,763,764.950694,1.000000
31,29.125000,57.250000,392,385,777,779.197631,1.000000
31,29.125000,57.250000,396,384,780,784.007796,1.000000
31,29.125000,57.250000,396,386,782,784.489125,1.000000
31,29.125000,57.250000,395,385,780,783.452550,1.000000
31,29.125000,57.250000,391,386,777,778.234640,1.000000
31,29.125000,57.250000,397,387,784,787.191504,1.000000
31,29.125000,57.250000,398,384,782,783.242585,1.000000
31,29.125000,57.250000,401,391,792,794.520955,1.000000
31,29.125000,57.250000,386,384,770,771.359703,1.000000
31,29.125000,57.250000,398,389,787,792.026078,1.000000
32,29.125000,57.250000,401,395,796,797.088919,1.000000
32,29.125000,57.250000,403,394,797,800.005485,1.000000
32,29.125000,57.250000,404,394,798,802.109166,1.000000
32,29.125000,57.250000,400,392,792,796.625215,1.000000
32,29.125000,57.250000,401,396,797,799.457348,1.000000
32,29.125000,57.250000,397,387,784,787.631498,1.000000
32,29.125000,57.250000,410,397,807,812.410521,1.000000
32,29.125000,57.250000,398,389,787,790.103206,1.000000
32,29.125000,57.250000,406,398,804,805.926737,1.000000
32,29.125000,57.250000,403,394,797,800.005485,1.000000
33,29.125000,57.250000,405,394,799,806.748203,1.000000
33,29.125000,57.250000,409,401,810,816.353471,1.000000
33,29.125000,57.250000,412,401,813,819.240280,1.000000
33,29.125000,57.250000,412,409,821,826.612037,1.000000
33,29.125000,57.250000,410,402,812,816.869565,1.000000
33,29.125000,57.250000,412,404,816,820.620150,1.000000
33,29.125000,57.250000,403,400,803,805.802094,1.000000
33,29.125000,57.250000,404,399,803,806.472144,1.000000
33,29.125000,57.250000,407,404,811,815.320293,1.000000
33,29.125000,57.250000,412,405,817,821.078882,1.000000
34,29.125000,57.250000,411,406,817,822.153324,1.000000
34,29.125000,57.250000,419,405,824,829.063389,1.000000
34,29.125000,57.250000,415,410,825,830.338078,1.000000
34,29.125000,57.250000,413,405,818,823.159631,1.000000
34,29.125000,57.250000,416,412,828,832.818623,1.000000
34,29.125000,57.250000,417,405,822,825.982558,1.000000
34,29.125000,57.250000,408,399,807,813.274052,1.000000
34,29.125000,57.250000,417,405,822,828.927715,1.000000
34,29.125000,57.250000,419,407,826,833.231518,1.000000
34,29.125000,57.250000,418,410,828,835.519948,1.000000
35,29.125000,57.250000,421,412,833,841.805775,1.000000
35,29.125000,57.250000,430,419,849,853.262984,1.000000
35,29.125000,57.250000,418,406,824,825.417579,1.000000
35,29.125000,57.250000,426,414,840,846.742210,1.000000
35,29.125000,57.250000,425,419,844,850.774315,1.000000
35,29.125000,57.250000,427,420,847,850.585607,1.000000
35,29.125000,57.250000,420,415,835,841.437225,1.000000
35,29.125000,57.250000,431,425,856,863.278224,1.000000
35,29.125000,57.250000,417,414,831,834.648738,1.000000
35,29.125000,57.250000,422,412,834,842.284768,1.000000
36,29.125000,57.250000,427,420,847,853.608077,1.000000
