NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,12.000000,8.000000,110,87,197,332.880886,0.654372
20,12.000000,8.000000,106,82,188,338.455485,0.615574
20,12.000000,8.000000,107,90,197,338.030942,0.642623
20,12.000000,8.000000,105,95,200,335.164835,0.659290
20,12.000000,8.000000,101,91,192,322.644628,0.654918
20,12.000000,8.000000,104,93,197,331.351103,0.653279
20,12.000000,8.000000,102,92,194,324.367291,0.660109
20,12.000000,8.000000,111,91,202,334.836957,0.656284
20,12.000000,8.000000,100,87,187,329.206349,0.640164
20,12.000000,8.000000,105,100,205,331.258278,0.674590
21,12.000000,8.000000,113,101,214,337.742094,0.694249
21,12.000000,8.000000,118,109,227,342.236563,0.721832
21,12.000000,8.000000,117,110,227,346.449960,0.718189
21,12.000000,8.000000,120,108,228,349.642458,0.711944
21,12.000000,8.000000,112,103,215,341.988825,0.692948
21,12.000000,8.000000,120,102,222,346.525589,0.701535
21,12.000000,8.000000,121,102,223,355.302239,0.690346
21,12.000000,8.000000,103,109,212,332.808824,0.697112
21,12.000000,8.000000,114,103,217,344.030941,0.693469
21,12.000000,8.000000,112,113,225,339.754420,0.719750
22,12.000000,8.000000,120,116,236,349.186329,0.735966
22,12.000000,8.000000,121,114,235,360.285605,0.707402
22,12.000000,8.000000,122,110,232,359.243077,0.708892
22,12.000000,8.000000,132,107,239,359.303211,0.726528
22,12.000000,8.000000,122,122,244,356.697168,0.742921
22,12.000000,8.000000,115,114,229,353.645570,0.708892
22,12.000000,8.000000,131,112,243,368.065463,0.718331
22,12.000000,8.000000,129,107,236,363.063049,0.717089
22,12.000000,8.000000,118,115,233,354.921680,0.717834
22,12.000000,8.000000,113,117,230,351.816109,0.717834
23,12.000000,8.000000,124,113,237,374.871477,0.695652
23,12.000000,8.000000,137,127,264,377.694086,0.754574
23,12.000000,8.000000,129,124,253,378.421109,0.725588
23,12.000000,8.000000,142,117,259,384.661609,0.735567
23,12.000000,8.000000,130,116,246,374.065751,0.725826
23,12.000000,8.000000,136,125,261,382.636364,0.735567
23,12.000000,8.000000,134,116,250,377.015407,0.724163
23,12.000000,8.000000,139,117,256,376.486373,0.738418
23,12.000000,8.000000,131,126,257,373.390749,0.745308
23,12.000000,8.000000,132,121,253,366.566954,0.747921
24,12.000000,8.000000,146,121,267,400.910769,0.717213
24,12.000000,8.000000,150,119,269,393.029940,0.732468
24,12.000000,8.000000,142,120,262,385.624665,0.733379
24,12.000000,8.000000,143,122,265,392.142857,0.730191
24,12.000000,8.000000,146,121,267,388.685449,0.744991
24,12.000000,8.000000,149,119,268,393.927711,0.739754
24,12.000000,8.000000,148,116,264,403.580926,0.707878
24,12.000000,8.000000,153,112,265,395.071283,0.728370
24,12.000000,8.000000,148,122,270,401.299492,0.725638
24,12.000000,8.000000,142,121,263,393.693252,0.728142
25,12.000000,8.000000,163,122,285,425.130421,0.726776
25,12.000000,8.000000,157,118,275,404.671920,0.736612
25,12.000000,8.000000,152,125,277,408.008693,0.734645
25,12.000000,8.000000,163,121,284,412.869399,0.750601
25,12.000000,8.000000,158,118,276,406.797680,0.736831
25,12.000000,8.000000,155,127,282,409.571429,0.744262
25,12.000000,8.000000,162,121,283,413.122208,0.742295
25,12.000000,8.000000,160,125,285,411.836702,0.749071
25,12.000000,8.000000,154,127,281,406.056538,0.748634
25,12.000000,8.000000,159,123,282,423.000000,0.726557
26,12.000000,8.000000,158,125,283,430.058767,0.721522
26,12.000000,8.000000,166,128,294,431.212084,0.741068
26,12.000000,8.000000,173,122,295,431.747155,0.737285
26,12.000000,8.000000,171,129,300,436.246944,0.744010
26,12.000000,8.000000,167,125,292,429.072267,0.739807
26,12.000000,8.000000,173,120,293,441.168987,0.724254
26,12.000000,8.000000,161,119,280,428.235294,0.711854
26,12.000000,8.000000,162,129,291,424.066769,0.743169
26,12.000000,8.000000,164,123,287,433.094196,0.720050
26,12.000000,8.000000,172,122,294,430.813674,0.743169
27,12.000000,8.000000,173,133,306,445.870245,0.747420
27,12.000000,8.000000,176,138,314,449.442063,0.749241
27,12.000000,8.000000,173,131,304,450.529094,0.730824
27,12.000000,8.000000,164,127,291,444.049104,0.710585
27,12.000000,8.000000,173,127,300,447.960109,0.739324
27,12.000000,8.000000,178,137,315,450.091093,0.753491
27,12.000000,8.000000,165,141,306,441.831093,0.747420
27,12.000000,8.000000,171,132,303,443.723474,0.742360
27,12.000000,8.000000,176,131,307,440.699303,0.752682
27,12.000000,8.000000,180,129,309,447.339291,0.742765
28,12.000000,8.000000,170,159,329,458.595212,0.773029
28,12.000000,8.000000,170,164,334,450.135718,0.793326
28,12.000000,8.000000,175,151,326,463.234609,0.759368
28,12.000000,8.000000,169,150,319,453.162185,0.768931
28,12.000000,8.000000,173,146,319,456.707460,0.751561
28,12.000000,8.000000,169,165,334,458.824665,0.785714
28,12.000000,8.000000,163,163,326,453.303664,0.772834
28,12.000000,8.000000,166,155,321,451.497118,0.775176
28,12.000000,8.000000,172,149,321,454.240265,0.764442
28,12.000000,8.000000,171,157,328,449.497727,0.779859
29,12.000000,8.000000,164,169,333,455.941950,0.788581
29,12.000000,8.000000,172,167,339,466.685603,0.782928
29,12.000000,8.000000,168,164,332,461.357423,0.779725
29,12.000000,8.000000,168,169,337,461.895403,0.782740
29,12.000000,8.000000,180,155,335,469.336061,0.768607
29,12.000000,8.000000,177,167,344,471.977249,0.784624
29,12.000000,8.000000,166,162,328,467.929032,0.759374
29,12.000000,8.000000,157,177,334,454.613491,0.791973
29,12.000000,8.000000,173,166,339,463.678608,0.785189
29,12.000000,8.000000,163,164,327,458.733545,0.769550
30,12.000000,8.000000,171,180,351,472.533104,0.797086
30,12.000000,8.000000,165,178,343,469.827844,0.790893
30,12.000000,8.000000,185,174,359,484.968012,0.794900
30,12.000000,8.000000,173,181,354,476.688742,0.799089
30,12.000000,8.000000,178,182,360,471.469466,0.811658
30,12.000000,8.000000,176,176,352,475.980296,0.789253
30,12.000000,8.000000,171,190,361,472.891911,0.818033
30,12.000000,8.000000,169,186,355,468.272465,0.810929
30,12.000000,8.000000,171,183,354,472.516411,0.804554
30,12.000000,8.000000,172,177,349,479.481982,0.783607
31,12.000000,8.000000,176,196,372,490.894627,0.808743
31,12.000000,8.000000,172,203,375,485.258896,0.824079
31,12.000000,8.000000,173,203,376,489.343427,0.817909
31,12.000000,8.000000,181,185,366,488.315616,0.799577
31,12.000000,8.000000,171,193,364,489.677970,0.800458
31,12.000000,8.000000,171,196,367,484.296581,0.810682
31,12.000000,8.000000,180,190,370,493.188440,0.807509
31,12.000000,8.000000,169,189,358,477.866824,0.807509
31,12.000000,8.000000,173,192,365,482.105937,0.808038
31,12.000000,8.000000,179,190,369,482.224603,0.818086
32,12.000000,8.000000,175,200,375,493.039964,0.816428
32,12.000000,8.000000,179,201,380,495.056730,0.819501
32,12.000000,8.000000,177,205,382,503.033955,0.813866
32,12.000000,8.000000,186,200,386,499.098256,0.826844
32,12.000000,8.000000,180,207,387,499.949702,0.827015
32,12.000000,8.000000,183,208,391,502.898309,0.831967
32,12.000000,8.000000,177,210,387,500.944297,0.824454
32,12.000000,8.000000,178,201,379,497.517149,0.820526
32,12.000000,8.000000,171,213,384,491.412587,0.836578
32,12.000000,8.000000,188,208,396,506.326638,0.830601
33,12.000000,8.000000,189,211,400,509.943002,0.834410
33,12.000000,8.000000,196,211,407,518.757493,0.831760
33,12.000000,8.000000,178,217,395,507.101403,0.834410
33,12.000000,8.000000,184,203,387,516.484641,0.806094
33,12.000000,8.000000,193,217,410,510.618684,0.848982
33,12.000000,8.000000,189,209,398,516.553191,0.825137
33,12.000000,8.000000,199,216,415,525.295536,0.841861
33,12.000000,8.000000,205,203,408,522.458015,0.826958
33,12.000000,8.000000,196,211,407,521.398600,0.825965
33,12.000000,8.000000,185,226,411,505.710880,0.861235
34,12.000000,8.000000,185,223,408,517.443131,0.845869
34,12.000000,8.000000,205,205,410,531.130543,0.822887
34,12.000000,8.000000,200,224,424,524.791725,0.853745
34,12.000000,8.000000,197,226,423,527.013616,0.847798
34,12.000000,8.000000,194,218,412,526.054586,0.834458
34,12.000000,8.000000,209,215,424,535.225806,0.837994
34,12.000000,8.000000,206,211,417,526.176029,0.842816
34,12.000000,8.000000,193,224,417,515.717352,0.855031
34,12.000000,8.000000,194,220,414,519.755448,0.848602
34,12.000000,8.000000,210,208,418,529.801589,0.839119
35,12.000000,8.000000,193,228,421,528.208619,0.845746
35,12.000000,8.000000,207,233,440,542.378753,0.856987
35,12.000000,8.000000,210,224,434,546.553284,0.847463
35,12.000000,8.000000,201,239,440,544.474498,0.860422
35,12.000000,8.000000,206,226,432,543.286864,0.846058
35,12.000000,8.000000,203,222,425,539.461950,0.838407
35,12.000000,8.000000,205,234,439,541.041947,0.861046
35,12.000000,8.000000,194,235,429,535.936220,0.850585
35,12.000000,8.000000,200,230,430,534.475063,0.858392
35,12.000000,8.000000,195,235,430,535.202099,0.854801
36,12.000000,8.000000,207,239,446,556.065102,0.855191
36,12.000000,8.000000,210,234,444,557.687703,0.847146
36,12.000000,8.000000,212,231,443,553.686966,0.848512
