NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,12.000000,8.000000,160,106,266,357.926471,0.786612
20,12.000000,8.000000,155,109,264,355.758468,0.781148
20,12.000000,8.000000,154,108,262,350.867179,0.794809
20,12.000000,8.000000,155,112,267,357.824973,0.791530
20,12.000000,8.000000,153,96,249,353.232558,0.751366
20,12.000000,8.000000,152,105,257,350.977612,0.780874
20,12.000000,8.000000,151,102,253,347.068966,0.774044
20,12.000000,8.000000,162,93,255,365.856527,0.748361
20,12.000000,8.000000,153,111,264,353.674963,0.788798
20,12.000000,8.000000,159,109,268,353.597693,0.804645
21,12.000000,8.000000,168,134,302,362.909944,0.870154
21,12.000000,8.000000,169,139,308,360.867073,0.897476
21,12.000000,8.000000,164,135,299,359.867523,0.877700
21,12.000000,8.000000,162,142,304,353.914571,0.896175
21,12.000000,8.000000,166,139,305,354.434533,0.896956
21,12.000000,8.000000,171,147,318,365.562070,0.912048
21,12.000000,8.000000,165,135,300,356.053119,0.883685
21,12.000000,8.000000,162,134,296,350.872301,0.884205
21,12.000000,8.000000,162,134,296,352.175851,0.882644
21,12.000000,8.000000,167,136,303,361.623913,0.880042
22,12.000000,8.000000,172,144,316,377.624221,0.879036
22,12.000000,8.000000,173,136,309,370.579088,0.874565
22,12.000000,8.000000,173,141,314,374.567111,0.883259
22,12.000000,8.000000,179,133,312,377.210811,0.874814
22,12.000000,8.000000,174,135,309,375.387447,0.869846
22,12.000000,8.000000,174,150,324,378.313225,0.894188
22,12.000000,8.000000,170,145,315,368.874346,0.900149
22,12.000000,8.000000,176,137,313,373.042629,0.879285
22,12.000000,8.000000,177,146,323,377.912816,0.896672
22,12.000000,8.000000,173,143,316,375.839291,0.885246
23,12.000000,8.000000,188,147,335,396.740293,0.889522
23,12.000000,8.000000,191,149,340,398.512949,0.901877
23,12.000000,8.000000,186,152,338,400.293191,0.885959
23,12.000000,8.000000,185,146,331,394.110042,0.881682
23,12.000000,8.000000,186,145,331,393.998586,0.880732
23,12.000000,8.000000,181,144,325,386.419492,0.885008
23,12.000000,8.000000,188,150,338,395.507923,0.895937
23,12.000000,8.000000,185,145,330,388.305843,0.894749
23,12.000000,8.000000,185,139,324,392.323360,0.867902
23,12.000000,8.000000,180,150,330,390.269739,0.890948
24,12.000000,8.000000,186,156,342,402.698123,0.895492
24,12.000000,8.000000,185,153,338,397.349036,0.890938
24,12.000000,8.000000,186,147,333,404.462389,0.866348
24,12.000000,8.000000,191,152,343,408.918567,0.881831
24,12.000000,8.000000,189,148,337,405.174925,0.869763
24,12.000000,8.000000,185,148,333,400.037199,0.877732
24,12.000000,8.000000,187,154,341,402.924939,0.889117
24,12.000000,8.000000,179,152,331,396.225675,0.884791
24,12.000000,8.000000,191,150,341,408.196239,0.876594
