NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,29.125000,57.250000,304,305,609,599.016393,1.000000
20,29.125000,57.250000,309,309,618,604.942498,1.000000
20,29.125000,57.250000,306,306,612,603.752022,1.000000
20,29.125000,57.250000,306,303,609,598.533835,1.000000
20,29.125000,57.250000,306,306,612,599.550321,1.000000
20,29.125000,57.250000,305,303,608,597.230274,1.000000
20,29.125000,57.250000,302,302,604,593.619764,1.000000
20,29.125000,57.250000,308,308,616,604.439678,1.000000
20,29.125000,57.250000,304,301,605,596.685530,1.000000
20,29.125000,57.250000,310,308,618,607.868852,1.000000
21,29.125000,57.250000,309,309,618,607.721085,1.000000
21,29.125000,57.250000,316,316,632,622.763077,1.000000
21,29.125000,57.250000,322,318,640,630.969728,1.000000
21,29.125000,57.250000,315,315,630,619.363008,1.000000
21,29.125000,57.250000,318,315,633,623.908438,1.000000
21,29.125000,57.250000,318,315,633,621.994119,1.000000
21,29.125000,57.250000,315,317,632,622.603435,1.000000
21,29.125000,57.250000,311,308,619,608.704452,1.000000
21,29.125000,57.250000,320,315,635,624.758065,1.000000
21,29.125000,57.250000,314,314,628,617.396777,1.000000
22,29.125000,57.250000,323,319,642,633.813634,1.000000
22,29.125000,57.250000,329,326,655,646.014209,1.000000
22,29.125000,57.250000,323,320,643,635.268221,1.000000
22,29.125000,57.250000,327,325,652,642.583109,1.000000
22,29.125000,57.250000,326,324,650,642.026497,1.000000
22,29.125000,57.250000,325,322,647,637.967671,1.000000
22,29.125000,57.250000,324,323,647,638.749877,1.000000
22,29.125000,57.250000,315,314,629,620.979402,1.000000
22,29.125000,57.250000,319,316,635,625.828641,1.000000
22,29.125000,57.250000,331,331,662,653.879293,1.000000
23,29.125000,57.250000,332,332,664,657.285042,1.000000
23,29.125000,57.250000,334,335,669,661.767568,1.000000
23,29.125000,57.250000,335,330,665,657.965444,1.000000
23,29.125000,57.250000,336,334,670,660.583275,1.000000
23,29.125000,57.250000,337,334,671,663.278300,1.000000
23,29.125000,57.250000,338,334,672,663.176553,1.000000
23,29.125000,57.250000,329,329,658,652.112550,1.000000
23,29.125000,57.250000,331,328,659,654.027588,1.000000
23,29.125000,57.250000,331,329,660,650.114674,1.000000
23,29.125000,57.250000,331,330,661,652.168073,1.000000
24,29.125000,57.250000,333,331,664,659.793665,1.000000
24,29.125000,57.250000,343,336,679,671.508219,1.000000
24,29.125000,57.250000,348,348,696,687.701237,1.000000
24,29.125000,57.250000,341,336,677,672.103074,1.000000
24,29.125000,57.250000,343,337,680,676.151234,1.000000
24,29.125000,57.250000,339,338,677,672.711312,1.000000
24,29.125000,57.250000,343,341,684,678.898983,1.000000
24,29.125000,57.250000,347,345,692,686.373984,1.000000
24,29.125000,57.250000,346,341,687,679.726064,1.000000
24,29.125000,57.250000,345,343,688,682.098420,1.000000
25,29.125000,57.250000,354,350,704,699.110050,1.000000
25,29.125000,57.250000,351,344,695,692.125599,1.000000
25,29.125000,57.250000,352,344,696,693.423345,1.000000
25,29.125000,57.250000,355,352,707,699.659312,1.000000
25,29.125000,57.250000,352,353,705,701.626060,1.000000
25,29.125000,57.250000,353,350,703,697.662690,1.000000
25,29.125000,57.250000,348,350,698,693.904824,1.000000
25,29.125000,57.250000,350,346,696,693.423345,1.000000
25,29.125000,57.250000,345,344,689,686.449260,1.000000
25,29.125000,57.250000,351,349,700,695.741907,1.000000
26,29.125000,57.250000,362,356,718,715.144233,1.000000
26,29.125000,57.250000,363,363,726,721.752612,1.000000
26,29.125000,57.250000,360,358,718,714.097826,1.000000
26,29.125000,57.250000,360,359,719,713.005836,1.000000
26,29.125000,57.250000,355,354,709,704.852069,1.000000
26,29.125000,57.250000,362,354,716,713.600335,1.000000
26,29.125000,57.250000,364,364,728,723.136534,1.000000
26,29.125000,57.250000,359,359,718,714.247125,1.000000
26,29.125000,57.250000,356,356,712,705.622995,1.000000
26,29.125000,57.250000,359,357,716,711.068253,1.000000
27,29.125000,57.250000,364,362,726,725.412740,1.000000
27,29.125000,57.250000,374,368,742,739.157661,1.000000
27,29.125000,57.250000,367,368,735,731.889359,1.000000
27,29.125000,57.250000,372,363,735,731.594480,1.000000
27,29.125000,57.250000,365,365,730,725.740443,1.000000
27,29.125000,57.250000,368,361,729,725.038043,1.000000
27,29.125000,57.250000,371,366,737,731.522097,1.000000
27,29.125000,57.250000,370,369,739,737.507372,1.000000
27,29.125000,57.250000,373,362,735,735.297631,1.000000
27,29.125000,57.250000,371,370,741,738.757264,1.000000
28,29.125000,57.250000,376,371,747,743.951020,1.000000
28,29.125000,57.250000,383,373,756,752.914286,1.000000
28,29.125000,57.250000,386,382,768,763.826087,1.000000
28,29.125000,57.250000,383,380,763,759.885714,1.000000
28,29.125000,57.250000,386,378,764,764.895662,1.000000
28,29.125000,57.250000,380,375,755,752.357060,1.000000
28,29.125000,57.250000,379,375,754,750.776525,1.000000
28,29.125000,57.250000,379,372,751,750.414197,1.000000
28,29.125000,57.250000,381,381,762,760.812159,1.000000
28,29.125000,57.250000,377,365,742,746.369847,1.000000
29,29.125000,57.250000,395,385,780,782.654566,1.000000
29,29.125000,57.250000,388,389,777,777.586083,1.000000
29,29.125000,57.250000,380,380,760,758.713318,1.000000
29,29.125000,57.250000,388,385,773,770.531743,1.000000
29,29.125000,57.250000,387,383,770,767.685516,1.000000
29,29.125000,57.250000,387,379,766,765.423084,1.000000
29,29.125000,57.250000,390,387,777,778.613860,1.000000
29,29.125000,57.250000,388,383,771,771.727084,1.000000
29,29.125000,57.250000,386,385,771,771.000000,1.000000
29,29.125000,57.250000,390,386,776,773.086540,1.000000
30,29.125000,57.250000,401,394,795,794.855218,1.000000
30,29.125000,57.250000,392,392,784,785.000912,1.000000
30,29.125000,57.250000,397,392,789,791.450758,1.000000
30,29.125000,57.250000,399,398,797,792.955781,1.000000
30,29.125000,57.250000,401,393,794,791.836512,1.000000
30,29.125000,57.250000,405,397,802,802.438491,1.000000
30,29.125000,57.250000,391,389,780,779.574003,1.000000
30,29.125000,57.250000,398,389,787,787.861050,1.000000
30,29.125000,57.250000,396,394,790,788.850491,1.000000
30,29.125000,57.250000,397,390,787,787.430290,1.000000
31,29.125000,57.250000,406,400,806,807.565878,1.000000
31,29.125000,57.250000,406,399,805,805.283901,1.000000
31,29.125000,57.250000,401,393,794,795.542564,1.000000
31,29.125000,57.250000,409,398,807,811.434066,1.000000
31,29.125000,57.250000,405,401,806,804.723337,1.000000
31,29.125000,57.250000,400,397,797,800.244425,1.000000
31,29.125000,57.250000,403,396,799,801.826818,1.000000
31,29.125000,57.250000,399,398,797,797.281079,1.000000
31,29.125000,57.250000,406,403,809,808.572410,1.000000
31,29.125000,57.250000,403,396,799,799.563768,1.000000
32,29.125000,57.250000,411,403,814,818.613086,1.000000
32,29.125000,57.250000,413,411,824,826.823852,1.000000
32,29.125000,57.250000,410,401,811,813.361192,1.000000
32,29.125000,57.250000,409,398,807,808.933927,1.000000
32,29.125000,57.250000,408,399,807,810.598971,1.000000
32,29.125000,57.250000,409,411,820,821.543199,1.000000
32,29.125000,57.250000,408,406,814,816.509764,1.000000
32,29.125000,57.250000,411,405,816,818.515930,1.000000
32,29.125000,57.250000,414,407,821,825.369270,1.000000
32,29.125000,57.250000,414,405,819,824.490975,1.000000
33,29.125000,57.250000,433,423,856,859.701314,1.000000
33,29.125000,57.250000,425,414,839,842.347631,1.000000
33,29.125000,57.250000,429,425,854,856.837681,1.000000
33,29.125000,57.250000,422,415,837,838.805675,1.000000
33,29.125000,57.250000,423,417,840,843.491852,1.000000
33,29.125000,57.250000,418,411,829,834.388500,1.000000
33,29.125000,57.250000,416,412,828,835.331106,1.000000
33,29.125000,57.250000,429,418,847,850.662398,1.000000
33,29.125000,57.250000,417,412,829,833.416181,1.000000
33,29.125000,57.250000,415,414,829,833.554945,1.000000
34,29.125000,57.250000,429,423,852,857.790291,1.000000
34,29.125000,57.250000,433,427,860,861.661836,1.000000
34,29.125000,57.250000,427,417,844,847.815305,1.000000
34,29.125000,57.250000,435,430,865,871.583806,1.000000
34,29.125000,57.250000,427,419,846,849.138893,1.000000
34,29.125000,57.250000,431,424,855,856.928157,1.000000
34,29.125000,57.250000,428,422,850,854.670330,1.000000
34,29.125000,57.250000,425,424,849,854.217012,1.000000
34,29.125000,57.250000,439,433,872,875.376573,1.000000
34,29.125000,57.250000,428,426,854,858.414863,1.000000
35,29.125000,57.250000,438,435,873,879.453444,1.000000
35,29.125000,57.250000,444,428,872,878.722467,1.000000
35,29.125000,57.250000,450,440,890,895.733815,1.000000
35,29.125000,57.250000,433,429,862,867.417125,1.000000
35,29.125000,57.250000,439,432,871,876.198367,1.000000
35,29.125000,57.250000,429,425,854,860.042453,1.000000
35,29.125000,57.250000,442,433,875,880.914021,1.000000
35,29.125000,57.250000,439,436,875,880.775578,1.000000
35,29.125000,57.250000,434,431,865,871.531383,1.000000
35,29.125000,57.250000,439,432,871,877.162736,1.000000
36,29.125000,57.250000,447,438,885,893.544828,1.000000
36,29.125000,57.250000,445,438,883,890.842879,1.000000
36,29.125000,57.250000,445,437,882,888.473394,1.000000
36,29.125000,57.250000,452,442,894,900.286151,1.000000
36,29.125000,57.250000,443,437,880,888.224299,1.000000
36,29.125000,57.250000,452,442,894,900.561468,1.000000
36,29.125000,57.250000,448,441,889,895.114168,1.000000
36,29.125000,57.250000,447,441,888,891.654321,1.000000
36,29.125000,57.250000,445,442,887,890.243144,1.000000
36,29.125000,57.250000,457,449,906,913.347819,1.000000
37,29.125000,57.250000,458,450,908,915.845077,1.000000
37,29.125000,57.250000,459,446,905,912.819157,1.000000
37,29.125000,57.250000,450,442,892,899.572833,1.000000
37,29.125000,57.250000,456,448,904,913.170819,1.000000
37,29.125000,57.250000,455,452,907,913.339827,1.000000
37,29.125000,57.250000,447,441,888,894.606160,1.000000
37,29.125000,57.250000,464,456,920,926.292937,1.000000
37,29.125000,57.250000,454,450,904,910.589705,1.000000
37,29.125000,57.250000,456,450,906,914.236364,1.000000
37,29.125000,57.250000,457,446,903,911.073312,1.000000
38,29.125000,57.250000,473,462,935,942.317391,1.000000
38,29.125000,57.250000,467,467,934,940.219456,1.000000
38,29.125000,57.250000,465,462,927,932.497903,1.000000
38,29.125000,57.250000,469,466,935,942.180843,1.000000
38,29.125000,57.250000,467,459,926,934.872822,1.000000
38,29.125000,57.250000,468,457,925,935.085041,1.000000
38,29.125000,57.250000,464,460,924,932.718246,1.000000
38,29.125000,57.250000,468,461,929,934.104396,1.000000
38,29.125000,57.250000,472,466,938,948.088953,1.000000
38,29.125000,57.250000,462,456,918,924.380539,1.000000
39,29.125000,57.250000,471,463,934,941.918610,1.000000
39,29.125000,57.250000,470,467,937,945.211166,1.000000
39,29.125000,57.250000,479,468,947,955.704044,1.000000
39,29.125000,57.250000,474,466,940,950.252125,1.000000
39,29.125000,57.250000,473,470,943,951.532730,1.000000
39,29.125000,57.250000,476,470,946,951.600000,1.000000
39,29.125000,57.250000,475,471,946,954.964922,1.000000
39,29.125000,57.250000,471,466,937,943.610696,1.000000
39,29.125000,57.250000,474,469,943,950.189327,1.000000
39,29.125000,57.250000,473,462,935,943.593750,1.000000
40,29.125000,57.250000,487,480,967,976.740720,1.000000
40,29.125000,57.250000,483,480,963,974.044494,1.000000
40,29.125000,57.250000,485,478,963,974.179104,1.000000
40,29.125000,57.250000,487,483,970,980.041408,1.000000
40,29.125000,57.250000,489,484,973,981.582139,1.000000
40,29.125000,57.250000,486,478,964,973.441854,1.000000
40,29.125000,57.250000,485,484,969,978.490826,1.000000
40,29.125000,57.250000,483,478,961,970.144808,1.000000
40,29.125000,57.250000,479,477,956,966.430051,1.000000
40,29.125000,57.250000,486,481,967,977.685083,1.000000
41,29.125000,57.250000,491,487,978,987.608883,1.000000
41,29.125000,57.250000,499,496,995,1003.155738,1.000000
41,29.125000,57.250000,490,486,976,986.385776,1.000000
41,29.125000,57.250000,486,474,960,971.655200,1.000000
41,29.125000,57.250000,490,487,977,987.928706,1.000000
41,29.125000,57.250000,485,477,962,969.364222,1.000000
41,29.125000,57.250000,486,478,964,974.520614,1.000000
41,29.125000,57.250000,492,484,976,984.926429,1.000000
41,29.125000,57.250000,492,486,978,991.210860,1.000000
41,29.125000,57.250000,495,485,980,992.299595,1.000000
42,29.125000,57.250000,501,495,996,1005.154412,1.000000
42,29.125000,57.250000,494,490,984,993.827070,1.000000
42,29.125000,57.250000,498,495,993,1001.600787,1.000000
42,29.125000,57.250000,495,490,985,996.277142,1.000000
42,29.125000,57.250000,506,494,1000,1013.449367,1.000000
42,29.125000,57.250000,503,496,999,1011.102713,1.000000
42,29.125000,57.250000,498,493,991,1001.818493,1.000000
42,29.125000,57.250000,507,496,1003,1015.017512,1.000000
42,29.125000,57.250000,499,491,990,1000.675960,1.000000
42,29.125000,57.250000,496,489,985,999.565619,1.000000
43,29.125000,57.250000,507,498,1005,1016.104972,1.000000
43,29.125000,57.250000,511,504,1015,1027.271383,1.000000
43,29.125000,57.250000,508,501,1009,1020.411387,1.000000
43,29.125000,57.250000,511,498,1009,1022.645672,1.000000
43,29.125000,57.250000,500,501,1001,1011.021563,1.000000
43,29.125000,57.250000,515,503,1018,1029.777863,1.000000
43,29.125000,57.250000,515,506,1021,1032.149152,1.000000
43,29.125000,57.250000,510,500,1010,1022.737099,1.000000
43,29.125000,57.250000,512,508,1020,1032.863209,1.000000
43,29.125000,57.250000,508,502,1010,1019.326664,1.000000
44,29.125000,57.250000,525,520,1045,1057.742300,1.000000
44,29.125000,57.250000,512,502,1014,1028.691949,1.000000
44,29.125000,57.250000,516,507,1023,1035.604224,1.000000
44,29.125000,57.250000,519,513,1032,1047.084677,1.000000
44,29.125000,57.250000,522,520,1042,1051.138061,1.000000
44,29.125000,57.250000,519,515,1034,1046.476621,1.000000
44,29.125000,57.250000,512,502,1014,1030.509655,1.000000
44,29.125000,57.250000,519,510,1029,1043.514861,1.000000
44,29.125000,57.250000,516,504,1020,1034.778884,1.000000
44,29.125000,57.250000,518,512,1030,1039.684092,1.000000
45,29.125000,57.250000,526,517,1043,1053.877914,1.000000
45,29.125000,57.250000,522,517,1039,1052.936869,1.000000
45,29.125000,57.250000,527,513,1040,1053.690945,1.000000
45,29.125000,57.250000,536,526,1062,1077.837072,1.000000
45,29.125000,57.250000,535,525,1060,1076.603355,1.000000
45,29.125000,57.250000,529,520,1049,1060.200663,1.000000
45,29.125000,57.250000,529,521,1050,1061.602210,1.000000
45,29.125000,57.250000,532,524,1056,1068.980947,1.000000
45,29.125000,57.250000,526,525,1051,1064.966777,1.000000
45,29.125000,57.250000,517,511,1028,1041.276753,1.000000
46,29.125000,57.250000,536,524,1060,1071.326690,1.000000
46,29.125000,57.250000,532,525,1057,1068.166387,1.000000
46,29.125000,57.250000,533,524,1057,1072.156404,1.000000
46,29.125000,57.250000,532,520,1052,1067.727996,1.000000
46,29.125000,57.250000,526,518,1044,1058.204937,1.000000
46,29.125000,57.250000,540,532,1072,1087.895841,1.000000
46,29.125000,57.250000,533,527,1060,1069.528946,1.000000
46,29.125000,57.250000,536,527,1063,1080.455687,1.000000
46,29.125000,57.250000,536,527,1063,1078.242439,1.000000
46,29.125000,57.250000,533,519,1052,1065.415784,1.000000
47,29.125000,57.250000,548,534,1082,1097.827297,1.000000
47,29.125000,57.250000,534,532,1066,1082.359344,1.000000
47,29.125000,57.250000,543,534,1077,1091.466596,1.000000
47,29.125000,57.250000,545,533,1078,1096.744500,1.000000
47,29.125000,57.250000,546,543,1089,1099.998708,1.000000
47,29.125000,57.250000,535,526,1061,1071.715913,1.000000
47,29.125000,57.250000,536,529,1065,1081.599362,1.000000
47,29.125000,57.250000,539,531,1070,1084.244816,1.000000
47,29.125000,57.250000,539,531,1070,1087.319234,1.000000
47,29.125000,57.250000,545,537,1082,1099.643389,1.000000
48,29.125000,57.250000,558,546,1104,1122.529922,1.000000
48,29.125000,57.250000,553,545,1098,1116.946381,1.000000
48,29.125000,57.250000,557,554,1111,1126.127856,1.000000
48,29.125000,57.250000,557,545,1102,1120.496354,1.000000
48,29.125000,57.250000,558,543,1101,1115.348172,1.000000
48,29.125000,57.250000,543,536,1079,1096.222068,1.000000
48,29.125000,57.250000,546,544,1090,1103.314128,1.000000
48,29.125000,57.250000,548,543,1091,1105.727934,1.000000
48,29.125000,57.250000,552,542,1094,1110.305719,1.000000
48,29.125000,57.250000,553,542,1095,1107.481865,1.000000
49,29.125000,57.250000,567,558,1125,1140.130538,1.000000
49,29.125000,57.250000,565,561,1126,1142.435166,1.000000
49,29.125000,57.250000,560,546,1106,1124.815924,1.000000
49,29.125000,57.250000,562,555,1117,1133.560321,1.000000
49,29.125000,57.250000,559,546,1105,1124.053885,1.000000
49,29.125000,57.250000,567,558,1125,1143.361102,1.000000
49,29.125000,57.250000,560,550,1110,1124.547509,1.000000
49,29.125000,57.250000,565,555,1120,1137.119565,1.000000
49,29.125000,57.250000,564,560,1124,1139.374633,1.000000
49,29.125000,57.250000,549,541,1090,1107.789867,1.000000
50,29.125000,57.250000,578,567,1145,1162.920413,1.000000
50,29.125000,57.250000,563,556,1119,1135.127494,1.000000
50,29.125000,57.250000,573,566,1139,1154.775623,1.000000
50,29.125000,57.250000,566,553,1119,1137.776420,1.000000
50,29.125000,57.250000,573,564,1137,1154.154648,1.000000
50,29.125000,57.250000,561,556,1117,1134.482184,1.000000
50,29.125000,57.250000,560,557,1117,1130.967135,1.000000
50,29.125000,57.250000,568,561,1129,1148.199400,1.000000
50,29.125000,57.250000,566,556,1122,1142.731523,1.000000
50,29.125000,57.250000,568,551,1119,1136.009098,1.000000
51,29.125000,57.250000,572,568,1140,1154.597938,1.000000
51,29.125000,57.250000,586,570,1156,1171.947426,1.000000
51,29.125000,57.250000,577,562,1139,1159.878560,1.000000
51,29.125000,57.250000,573,569,1142,1161.919328,1.000000
51,29.125000,57.250000,580,573,1153,1172.472107,1.000000
51,29.125000,57.250000,583,567,1150,1170.569310,1.000000
51,29.125000,57.250000,579,566,1145,1164.590780,1.000000
51,29.125000,57.250000,583,578,1161,1182.152847,1.000000
51,29.125000,57.250000,577,568,1145,1165.734155,1.000000
51,29.125000,57.250000,583,570,1153,1171.196017,1.000000
52,29.125000,57.250000,591,585,1176,1194.578992,1.000000
52,29.125000,57.250000,593,580,1173,1190.387971,1.000000
52,29.125000,57.250000,585,575,1160,1179.963656,1.000000
52,29.125000,57.250000,596,588,1184,1203.090657,1.000000
52,29.125000,57.250000,582,576,1158,1178.181118,1.000000
52,29.125000,57.250000,585,576,1161,1179.593850,1.000000
52,29.125000,57.250000,581,578,1159,1176.807939,1.000000
52,29.125000,57.250000,592,579,1171,1191.917424,1.000000
52,29.125000,57.250000,587,576,1163,1180.617453,1.000000
52,29.125000,57.250000,587,579,1166,1186.447391,1.000000
53,29.125000,57.250000,600,589,1189,1211.356197,1.000000
53,29.125000,57.250000,601,594,1195,1213.898722,1.000000
53,29.125000,57.250000,598,587,1185,1207.534671,1.000000
53,29.125000,57.250000,595,580,1175,1194.583333,1.000000
53,29.125000,57.250000,597,581,1178,1198.512745,1.000000
53,29.125000,57.250000,600,592,1192,1212.375000,1.000000
53,29.125000,57.250000,598,586,1184,1204.490875,1.000000
53,29.125000,57.250000,598,591,1189,1206.540176,1.000000
53,29.125000,57.250000,600,589,1189,1213.523203,1.000000
53,29.125000,57.250000,594,580,1174,1197.080109,1.000000
54,29.125000,57.250000,607,597,1204,1224.444582,1.000000
54,29.125000,57.250000,598,591,1189,1213.185132,1.000000
54,29.125000,57.250000,607,598,1205,1228.876161,1.000000
54,29.125000,57.250000,607,598,1205,1225.335460,1.000000
54,29.125000,57.250000,605,600,1205,1225.083333,1.000000
54,29.125000,57.250000,606,593,1199,1220.238723,1.000000
54,29.125000,57.250000,609,594,1203,1222.169837,1.000000
54,29.125000,57.250000,610,600,1210,1229.281382,1.000000
54,29.125000,57.250000,595,586,1181,1200.312866,1.000000
54,29.125000,57.250000,603,593,1196,1217.310949,1.000000
55,29.125000,57.250000,617,611,1228,1246.829416,1.000000
55,29.125000,57.250000,613,599,1212,1234.819314,1.000000
55,29.125000,57.250000,627,615,1242,1265.128023,1.000000
55,29.125000,57.250000,607,597,1204,1225.180467,1.000000
55,29.125000,57.250000,609,604,1213,1233.341247,1.000000
55,29.125000,57.250000,606,595,1201,1221.880623,1.000000
55,29.125000,57.250000,611,607,1218,1238.925720,1.000000
55,29.125000,57.250000,614,611,1225,1248.064075,1.000000
55,29.125000,57.250000,608,602,1210,1227.068010,1.000000
55,29.125000,57.250000,605,600,1205,1228.309196,1.000000
56,29.125000,57.250000,620,605,1225,1250.876843,1.000000
56,29.125000,57.250000,627,620,1247,1265.648807,1.000000
56,29.125000,57.250000,635,618,1253,1274.009723,1.000000
56,29.125000,57.250000,625,613,1238,1262.516071,1.000000
56,29.125000,57.250000,624,609,1233,1257.792554,1.000000
56,29.125000,57.250000,618,610,1228,1250.078872,1.000000
56,29.125000,57.250000,620,607,1227,1251.298239,1.000000
56,29.125000,57.250000,621,609,1230,1247.282802,1.000000
56,29.125000,57.250000,629,621,1250,1271.716470,1.000000
56,29.125000,57.250000,630,617,1247,1272.707499,1.000000
57,29.125000,57.250000,626,617,1243,1267.546485,1.000000
57,29.125000,57.250000,634,625,1259,1285.370363,1.000000
57,29.125000,57.250000,629,619,1248,1270.781726,1.000000
57,29.125000,57.250000,631,621,1252,1273.735687,1.000000
57,29.125000,57.250000,639,626,1265,1290.611796,1.000000
57,29.125000,57.250000,633,620,1253,1276.496045,1.000000
57,29.125000,57.250000,627,620,1247,1272.371809,1.000000
57,29.125000,57.250000,620,609,1229,1251.190611,1.000000
57,29.125000,57.250000,625,612,1237,1257.004092,1.000000
57,29.125000,57.250000,638,628,1266,1289.991794,1.000000
58,29.125000,57.250000,646,627,1273,1302.074010,1.000000
58,29.125000,57.250000,634,623,1257,1283.852771,1.000000
58,29.125000,57.250000,642,637,1279,1301.937854,1.000000
58,29.125000,57.250000,641,628,1269,1295.485813,1.000000
58,29.125000,57.250000,648,633,1281,1303.973722,1.000000
58,29.125000,57.250000,637,630,1267,1291.084677,1.000000
58,29.125000,57.250000,636,627,1263,1285.281112,1.000000
58,29.125000,57.250000,634,620,1254,1278.696897,1.000000
58,29.125000,57.250000,634,623,1257,1281.263613,1.000000
58,29.125000,57.250000,629,618,1247,1271.314763,1.000000
59,29.125000,57.250000,641,631,1272,1294.784953,1.000000
59,29.125000,57.250000,642,624,1266,1288.677477,1.000000
59,29.125000,57.250000,655,638,1293,1316.781834,1.000000
59,29.125000,57.250000,642,629,1271,1297.927457,1.000000
59,29.125000,57.250000,644,632,1276,1299.591737,1.000000
59,29.125000,57.250000,651,641,1292,1314.771348,1.000000
59,29.125000,57.250000,645,632,1277,1302.084144,1.000000
59,29.125000,57.250000,648,638,1286,1311.508643,1.000000
59,29.125000,57.250000,645,635,1280,1303.173975,1.000000
59,29.125000,57.250000,647,638,1285,1310.860261,1.000000
60,29.125000,57.250000,669,658,1327,1354.761506,1.000000
60,29.125000,57.250000,656,644,1300,1326.579926,1.000000
60,29.125000,57.250000,661,648,1309,1335.019506,1.000000
60,29.125000,57.250000,659,646,1305,1330.692793,1.000000
60,29.125000,57.250000,662,647,1309,1332.173510,1.000000
60,29.125000,57.250000,659,654,1313,1337.235878,1.000000
60,29.125000,57.250000,664,650,1314,1341.614283,1.000000
60,29.125000,57.250000,655,647,1302,1328.127090,1.000000
60,29.125000,57.250000,661,650,1311,1336.686786,1.000000
60,29.125000,57.250000,661,651,1312,1336.465349,1.000000
61,29.125000,57.250000,661,647,1308,1334.052444,1.000000
61,29.125000,57.250000,661,655,1316,1343.562100,1.000000
61,29.125000,57.250000,671,662,1333,1360.171755,1.000000
61,29.125000,57.250000,664,651,1315,1341.436992,1.000000
61,29.125000,57.250000,658,640,1298,1325.912701,1.000000
61,29.125000,57.250000,660,653,1313,1338.907372,1.000000
61,29.125000,57.250000,667,657,1324,1351.976948,1.000000
61,29.125000,57.250000,667,658,1325,1351.144149,1.000000
61,29.125000,57.250000,663,650,1313,1337.929621,1.000000
61,29.125000,57.250000,671,659,1330,1355.623630,1.000000
62,29.125000,57.250000,679,667,1346,1371.259406,1.000000
62,29.125000,57.250000,676,665,1341,1369.978930,1.000000
62,29.125000,57.250000,671,661,1332,1356.631239,1.000000
62,29.125000,57.250000,675,666,1341,1368.377192,1.000000
62,29.125000,57.250000,666,646,1312,1341.923015,1.000000
62,29.125000,57.250000,664,657,1321,1342.655738,1.000000
62,29.125000,57.250000,683,666,1349,1376.045491,1.000000
62,29.125000,57.250000,673,662,1335,1358.589111,1.000000
62,29.125000,57.250000,673,662,1335,1357.006809,1.000000
62,29.125000,57.250000,670,661,1331,1360.007745,1.000000
