NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,12.000000,8.000000,173,24,197,392.071778,0.587705
20,12.000000,8.000000,161,22,183,402.270270,0.528689
20,12.000000,8.000000,162,15,177,396.948529,0.536885
20,12.000000,8.000000,166,19,185,401.363367,0.542896
20,12.000000,8.000000,165,21,186,401.391509,0.545902
20,12.000000,8.000000,166,28,194,389.917628,0.576230
20,12.000000,8.000000,158,21,179,394.900542,0.533333
20,12.000000,8.000000,163,21,184,399.193835,0.540710
20,12.000000,8.000000,161,19,180,400.000000,0.531148
20,12.000000,8.000000,174,20,194,406.433887,0.552459
21,12.000000,8.000000,158,37,195,384.300000,0.589383
21,12.000000,8.000000,173,29,202,411.386328,0.572209
21,12.000000,8.000000,168,35,203,384.678994,0.607598
21,12.000000,8.000000,182,36,218,397.614618,0.618007
21,12.000000,8.000000,158,31,189,386.138756,0.571429
21,12.000000,8.000000,157,41,198,386.250761,0.591465
21,12.000000,8.000000,174,42,216,405.316406,0.604736
21,12.000000,8.000000,175,29,204,395.945455,0.600833
21,12.000000,8.000000,170,28,198,409.093548,0.564923
21,12.000000,8.000000,174,30,204,410.241758,0.577153
22,12.000000,8.000000,184,40,224,412.168190,0.622702
22,12.000000,8.000000,171,31,202,415.773006,0.566319
22,12.000000,8.000000,175,44,219,405.936464,0.614506
22,12.000000,8.000000,170,33,203,405.798411,0.579732
22,12.000000,8.000000,184,32,216,411.750000,0.597615
22,12.000000,8.000000,185,34,219,415.697313,0.605315
22,12.000000,8.000000,181,44,225,410.072431,0.625186
22,12.000000,8.000000,184,39,223,414.304569,0.616244
22,12.000000,8.000000,183,38,221,414.800000,0.611277
22,12.000000,8.000000,182,39,221,419.691509,0.604074
23,12.000000,8.000000,185,52,237,419.484020,0.635305
23,12.000000,8.000000,189,36,225,436.216029,0.596341
23,12.000000,8.000000,186,34,220,435.345557,0.592777
23,12.000000,8.000000,185,45,230,426.462555,0.613923
23,12.000000,8.000000,187,36,223,431.543448,0.587788
23,12.000000,8.000000,185,43,228,438.197260,0.597054
23,12.000000,8.000000,188,41,229,433.976137,0.605369
23,12.000000,8.000000,196,41,237,436.366142,0.617249
23,12.000000,8.000000,196,33,229,431.257718,0.604182
23,12.000000,8.000000,192,34,226,437.147978,0.597767
24,12.000000,8.000000,208,39,247,454.471722,0.613160
24,12.000000,8.000000,202,46,248,462.119644,0.607468
24,12.000000,8.000000,202,41,243,448.615385,0.611339
24,12.000000,8.000000,204,46,250,443.278159,0.640938
24,12.000000,8.000000,198,37,235,451.101399,0.596539
24,12.000000,8.000000,202,37,239,445.538200,0.610656
24,12.000000,8.000000,198,51,249,438.847512,0.633652
24,12.000000,8.000000,204,46,250,441.141020,0.632741
24,12.000000,8.000000,203,50,253,439.026472,0.644353
24,12.000000,8.000000,198,42,240,441.591956,0.616348
25,12.000000,8.000000,204,47,251,466.798780,0.614645
25,12.000000,8.000000,209,48,257,455.021285,0.640437
25,12.000000,8.000000,203,50,253,456.237682,0.623607
25,12.000000,8.000000,213,52,265,458.538200,0.647650
25,12.000000,8.000000,214,50,264,462.758621,0.638907
25,12.000000,8.000000,208,44,252,470.955882,0.609399
25,12.000000,8.000000,208,49,257,461.088235,0.625574
25,12.000000,8.000000,201,48,249,452.053571,0.619016
25,12.000000,8.000000,209,48,257,455.903451,0.636284
25,12.000000,8.000000,199,52,251,458.047467,0.617049
26,12.000000,8.000000,207,58,265,472.059154,0.626944
26,12.000000,8.000000,219,56,275,481.578947,0.632619
26,12.000000,8.000000,206,59,265,468.202748,0.635771
26,12.000000,8.000000,204,56,260,475.983070,0.619378
26,12.000000,8.000000,210,55,265,477.060159,0.625683
26,12.000000,8.000000,204,59,263,465.706736,0.631778
26,12.000000,8.000000,212,52,264,474.541745,0.624002
26,12.000000,8.000000,210,62,272,467.042945,0.648172
26,12.000000,8.000000,205,52,257,475.800000,0.605296
26,12.000000,8.000000,198,69,267,458.126938,0.644599
27,12.000000,8.000000,212,65,277,481.074517,0.646833
27,12.000000,8.000000,210,67,277,480.399087,0.640154
27,12.000000,8.000000,211,65,276,483.244507,0.636916
27,12.000000,8.000000,214,64,278,479.106383,0.646428
27,12.000000,8.000000,215,61,276,501.366176,0.616879
27,12.000000,8.000000,213,63,276,496.257642,0.621332
27,12.000000,8.000000,215,59,274,496.091609,0.625582
27,12.000000,8.000000,214,65,279,484.718354,0.641368
27,12.000000,8.000000,207,59,266,505.307958,0.592593
27,12.000000,8.000000,216,58,274,500.308204,0.612427
28,12.000000,8.000000,212,91,303,490.699115,0.682084
28,12.000000,8.000000,219,79,298,503.446093,0.658080
28,12.000000,8.000000,213,91,304,500.866881,0.670570
28,12.000000,8.000000,204,86,290,482.611237,0.662959
28,12.000000,8.000000,213,85,298,494.799741,0.672131
28,12.000000,8.000000,220,85,305,502.999678,0.670375
28,12.000000,8.000000,215,87,302,490.008866,0.683255
28,12.000000,8.000000,224,84,308,501.969466,0.677205
28,12.000000,8.000000,211,88,299,490.578290,0.678571
28,12.000000,8.000000,216,85,301,485.771339,0.680328
29,12.000000,8.000000,227,85,312,513.262244,0.668551
29,12.000000,8.000000,217,89,306,497.988960,0.679857
29,12.000000,8.000000,234,91,325,520.137214,0.682683
29,12.000000,8.000000,221,76,297,510.420661,0.644997
29,12.000000,8.000000,222,89,311,515.774063,0.671943
29,12.000000,8.000000,214,88,302,502.418182,0.664782
29,12.000000,8.000000,226,88,314,508.358145,0.677219
29,12.000000,8.000000,222,88,310,512.833541,0.670812
29,12.000000,8.000000,220,92,312,502.361650,0.687582
29,12.000000,8.000000,226,81,307,511.698807,0.666855
30,12.000000,8.000000,226,102,328,518.939481,0.690346
30,12.000000,8.000000,226,95,321,520.617430,0.679599
30,12.000000,8.000000,230,105,335,513.298912,0.710747
30,12.000000,8.000000,232,98,330,527.270081,0.689617
30,12.000000,8.000000,238,81,319,534.098811,0.662842
30,12.000000,8.000000,233,101,334,519.303314,0.707286
30,12.000000,8.000000,239,92,331,532.587925,0.680692
30,12.000000,8.000000,235,87,322,526.125000,0.677231
30,12.000000,8.000000,227,94,321,519.083947,0.680510
30,12.000000,8.000000,216,102,318,504.426466,0.690528
31,12.000000,8.000000,254,98,352,556.858896,0.693813
31,12.000000,8.000000,249,96,345,537.392916,0.704742
31,12.000000,8.000000,249,83,332,546.081763,0.669311
31,12.000000,8.000000,250,84,334,560.420586,0.659792
31,12.000000,8.000000,241,98,339,540.361618,0.683765
31,12.000000,8.000000,241,87,328,542.649169,0.668782
31,12.000000,8.000000,248,86,334,553.706020,0.670192
31,12.000000,8.000000,244,97,341,547.394737,0.684999
31,12.000000,8.000000,246,92,338,537.860870,0.693637
31,12.000000,8.000000,248,93,341,547.394737,0.683236
32,12.000000,8.000000,253,91,344,567.454648,0.671277
32,12.000000,8.000000,256,91,347,563.357915,0.678620
32,12.000000,8.000000,260,102,362,564.546471,0.702527
32,12.000000,8.000000,261,90,351,570.801444,0.672814
32,12.000000,8.000000,250,101,351,557.789959,0.694501
32,12.000000,8.000000,258,89,347,559.634261,0.683402
32,12.000000,8.000000,261,92,353,575.492205,0.672985
32,12.000000,8.000000,262,87,349,569.446643,0.678108
32,12.000000,8.000000,253,106,359,549.334727,0.711236
32,12.000000,8.000000,247,99,346,552.543223,0.686305
33,12.000000,8.000000,258,97,355,565.210915,0.685378
33,12.000000,8.000000,271,89,360,587.578378,0.673787
33,12.000000,8.000000,262,88,350,574.986398,0.670475
33,12.000000,8.000000,268,97,365,576.119969,0.695976
33,12.000000,8.000000,268,95,363,580.396346,0.686372
33,12.000000,8.000000,279,93,372,595.574761,0.683391
33,12.000000,8.000000,272,94,366,576.643360,0.692664
33,12.000000,8.000000,259,100,359,570.076519,0.693327
33,12.000000,8.000000,274,98,372,590.099291,0.689353
33,12.000000,8.000000,262,98,360,583.634899,0.678589
34,12.000000,8.000000,279,100,379,595.339056,0.693507
34,12.000000,8.000000,273,101,374,598.361533,0.686114
34,12.000000,8.000000,275,104,379,597.148139,0.694953
34,12.000000,8.000000,287,95,382,609.593229,0.687882
34,12.000000,8.000000,280,90,370,604.394854,0.672935
34,12.000000,8.000000,287,94,381,595.923077,0.699775
34,12.000000,8.000000,279,103,382,598.540418,0.698007
34,12.000000,8.000000,278,95,373,592.193417,0.691418
34,12.000000,8.000000,280,89,369,597.273153,0.679685
34,12.000000,8.000000,272,100,372,587.010905,0.697846
35,12.000000,8.000000,275,122,397,594.803509,0.726932
35,12.000000,8.000000,273,126,399,595.987640,0.729742
35,12.000000,8.000000,266,128,394,602.859532,0.716159
35,12.000000,8.000000,277,126,403,608.203346,0.721936
35,12.000000,8.000000,283,117,400,602.539981,0.720375
35,12.000000,8.000000,282,124,406,602.509268,0.731304
35,12.000000,8.000000,268,135,403,587.708333,0.740359
35,12.000000,8.000000,282,137,419,598.905378,0.762529
35,12.000000,8.000000,274,124,398,598.823115,0.724746
35,12.000000,8.000000,276,129,405,605.514706,0.726308
36,12.000000,8.000000,281,132,413,614.602214,0.728597
36,12.000000,8.000000,282,133,415,611.774446,0.735732
36,12.000000,8.000000,295,122,417,632.120571,0.721767
36,12.000000,8.000000,283,131,414,608.394379,0.730571
36,12.000000,8.000000,274,135,409,603.469653,0.739982
36,12.000000,8.000000,279,125,404,609.190204,0.720249
36,12.000000,8.000000,281,132,413,614.324678,0.728142
36,12.000000,8.000000,288,132,420,621.230355,0.728749
36,12.000000,8.000000,283,129,412,618.986545,0.721463
36,12.000000,8.000000,293,125,418,622.887130,0.728597
37,12.000000,8.000000,289,125,414,631.492228,0.716881
37,12.000000,8.000000,295,139,434,629.388306,0.747600
37,12.000000,8.000000,293,137,430,634.182095,0.735490
37,12.000000,8.000000,296,132,428,631.782865,0.732536
37,12.000000,8.000000,288,135,423,631.144337,0.730616
37,12.000000,8.000000,288,135,423,631.840503,0.725004
37,12.000000,8.000000,294,137,431,631.530188,0.739773
37,12.000000,8.000000,296,129,425,644.929404,0.715552
37,12.000000,8.000000,294,142,436,635.145439,0.742431
37,12.000000,8.000000,296,131,427,631.270087,0.734899
38,12.000000,8.000000,294,138,432,644.801030,0.724619
38,12.000000,8.000000,295,140,435,647.610790,0.723756
38,12.000000,8.000000,294,146,440,635.596178,0.751798
38,12.000000,8.000000,298,137,435,645.675560,0.731378
38,12.000000,8.000000,295,135,430,648.637744,0.718723
38,12.000000,8.000000,306,135,441,651.107006,0.729508
38,12.000000,8.000000,299,140,439,635.075099,0.746621
38,12.000000,8.000000,302,130,432,651.089727,0.725050
38,12.000000,8.000000,290,135,425,637.912799,0.723037
38,12.000000,8.000000,301,141,442,649.686747,0.732672
39,12.000000,8.000000,306,142,448,654.127660,0.740647
39,12.000000,8.000000,300,161,461,647.159127,0.762365
39,12.000000,8.000000,312,144,456,664.313533,0.741768
39,12.000000,8.000000,298,143,441,651.234637,0.729718
39,12.000000,8.000000,307,149,456,663.906977,0.742189
39,12.000000,8.000000,314,133,447,671.346591,0.723133
39,12.000000,8.000000,315,144,459,672.389778,0.741348
39,12.000000,8.000000,305,140,445,663.040710,0.727477
39,12.000000,8.000000,305,153,458,669.413475,0.737004
39,12.000000,8.000000,305,147,452,650.912833,0.752417
40,12.000000,8.000000,317,156,473,670.090962,0.761475
40,12.000000,8.000000,318,142,460,681.343586,0.732787
40,12.000000,8.000000,305,145,450,666.801619,0.731284
40,12.000000,8.000000,309,151,460,671.425723,0.741530
40,12.000000,8.000000,318,148,466,686.756594,0.732923
40,12.000000,8.000000,311,155,466,672.274340,0.746721
40,12.000000,8.000000,312,155,467,672.921260,0.752732
40,12.000000,8.000000,314,142,456,680.652529,0.727459
40,12.000000,8.000000,311,145,456,672.832090,0.736612
40,12.000000,8.000000,312,153,465,680.351789,0.737295
41,12.000000,8.000000,324,144,468,700.319904,0.720112
41,12.000000,8.000000,320,160,480,691.255278,0.747168
41,12.000000,8.000000,316,150,466,696.910106,0.726776
41,12.000000,8.000000,314,152,466,694.142942,0.727576
41,12.000000,8.000000,318,150,468,684.084161,0.738505
41,12.000000,8.000000,321,142,463,697.568072,0.715447
41,12.000000,8.000000,321,160,481,694.428132,0.748101
41,12.000000,8.000000,312,148,460,685.205479,0.730508
41,12.000000,8.000000,321,161,482,693.337040,0.743836
41,12.000000,8.000000,316,153,469,697.780488,0.725043
42,12.000000,8.000000,323,172,495,705.857143,0.757351
42,12.000000,8.000000,325,179,504,700.876425,0.773875
42,12.000000,8.000000,325,177,502,704.468139,0.765027
42,12.000000,8.000000,320,171,491,706.444403,0.749024
42,12.000000,8.000000,319,171,490,694.988005,0.759173
42,12.000000,8.000000,313,181,494,692.862044,0.766458
42,12.000000,8.000000,328,177,505,707.902608,0.771403
42,12.000000,8.000000,316,173,489,692.930310,0.756180
42,12.000000,8.000000,326,180,506,705.316649,0.770752
42,12.000000,8.000000,326,166,492,703.930007,0.756310
43,12.000000,8.000000,331,182,513,714.603824,0.768840
43,12.000000,8.000000,326,173,499,725.407537,0.746474
43,12.000000,8.000000,336,172,508,723.258911,0.754607
43,12.000000,8.000000,328,188,516,712.601615,0.780658
43,12.000000,8.000000,325,178,503,712.274069,0.762486
43,12.000000,8.000000,332,182,514,721.746253,0.766044
43,12.000000,8.000000,333,173,506,715.492183,0.762232
43,12.000000,8.000000,332,183,515,711.595259,0.774685
43,12.000000,8.000000,329,173,502,719.402295,0.749396
43,12.000000,8.000000,321,185,506,713.696720,0.765409
44,12.000000,8.000000,347,181,528,746.000351,0.759687
44,12.000000,8.000000,341,175,516,730.070638,0.758693
44,12.000000,8.000000,349,179,528,742.612402,0.765027
44,12.000000,8.000000,350,187,537,739.638043,0.780924
44,12.000000,8.000000,336,178,514,735.381663,0.751615
44,12.000000,8.000000,338,183,521,736.239382,0.763289
44,12.000000,8.000000,340,184,524,738.146956,0.762916
44,12.000000,8.000000,333,192,525,731.493338,0.769126
44,12.000000,8.000000,342,180,522,733.277041,0.761923
44,12.000000,8.000000,344,178,522,739.859884,0.762668
45,12.000000,8.000000,351,181,532,754.307851,0.758713
45,12.000000,8.000000,358,180,538,764.658267,0.758956
45,12.000000,8.000000,340,193,533,741.177812,0.770006
45,12.000000,8.000000,349,179,528,749.927561,0.759199
45,12.000000,8.000000,348,187,535,751.317360,0.765149
45,12.000000,8.000000,349,177,526,751.885089,0.752763
45,12.000000,8.000000,346,189,535,746.986267,0.766849
45,12.000000,8.000000,342,192,534,740.817049,0.771706
45,12.000000,8.000000,344,200,544,734.400000,0.795021
45,12.000000,8.000000,346,185,531,754.578947,0.755191
46,12.000000,8.000000,363,189,552,772.653143,0.766809
46,12.000000,8.000000,363,198,561,772.407262,0.776313
46,12.000000,8.000000,361,182,543,762.083028,0.768354
46,12.000000,8.000000,355,189,544,773.938144,0.755167
46,12.000000,8.000000,356,180,536,767.485627,0.753504
46,12.000000,8.000000,362,185,547,770.265306,0.762057
46,12.000000,8.000000,366,173,539,785.952191,0.744001
46,12.000000,8.000000,363,197,560,760.090293,0.784985
46,12.000000,8.000000,366,181,547,773.630040,0.762889
46,12.000000,8.000000,365,185,550,775.267917,0.765265
47,12.000000,8.000000,366,188,554,784.225477,0.761074
47,12.000000,8.000000,372,180,552,794.735855,0.748866
47,12.000000,8.000000,375,188,563,793.960157,0.760725
47,12.000000,8.000000,371,179,550,784.762774,0.757819
47,12.000000,8.000000,371,190,561,788.811672,0.763516
47,12.000000,8.000000,374,180,554,793.762119,0.751192
47,12.000000,8.000000,374,194,568,784.798072,0.778165
47,12.000000,8.000000,369,192,561,777.624658,0.771771
47,12.000000,8.000000,369,188,557,782.803431,0.764795
47,12.000000,8.000000,373,191,564,805.807973,0.754098
48,12.000000,8.000000,368,202,570,802.384615,0.765483
48,12.000000,8.000000,371,195,566,807.363430,0.753985
48,12.000000,8.000000,377,191,568,796.124461,0.762523
48,12.000000,8.000000,384,187,571,811.596117,0.753757
48,12.000000,8.000000,374,190,564,805.950220,0.755009
48,12.000000,8.000000,373,189,562,812.744155,0.745446
48,12.000000,8.000000,366,190,556,803.009536,0.752732
48,12.000000,8.000000,374,201,575,791.785546,0.779030
48,12.000000,8.000000,375,197,572,798.672389,0.768898
48,12.000000,8.000000,383,188,571,811.858854,0.754554
49,12.000000,8.000000,388,217,605,819.367920,0.790565
49,12.000000,8.000000,380,212,592,806.144875,0.787108
49,12.000000,8.000000,380,215,595,813.565874,0.784989
49,12.000000,8.000000,371,221,592,807.985388,0.783763
49,12.000000,8.000000,374,200,574,806.496083,0.765919
49,12.000000,8.000000,381,222,603,818.885507,0.788558
49,12.000000,8.000000,377,226,603,802.002522,0.804617
49,12.000000,8.000000,379,227,606,810.077818,0.798149
49,12.000000,8.000000,378,214,592,808.354500,0.783651
49,12.000000,8.000000,382,203,585,813.286047,0.777071
50,12.000000,8.000000,391,206,597,833.468111,0.765027
50,12.000000,8.000000,388,225,613,832.064976,0.788743
50,12.000000,8.000000,383,234,617,828.036081,0.798907
50,12.000000,8.000000,381,222,603,820.072830,0.788525
50,12.000000,8.000000,384,216,600,826.185102,0.776612
50,12.000000,8.000000,380,215,595,831.818182,0.767541
50,12.000000,8.000000,382,215,597,827.909973,0.769836
50,12.000000,8.000000,383,222,605,824.140241,0.788525
50,12.000000,8.000000,384,222,606,822.685460,0.790929
50,12.000000,8.000000,382,225,607,823.310110,0.784590
51,12.000000,8.000000,400,241,641,838.700827,0.812708
