NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,29.125000,57.250000,295,289,584,570.592632,1.000000
20,29.125000,57.250000,291,285,576,565.645291,1.000000
20,29.125000,57.250000,294,290,584,573.809396,1.000000
20,29.125000,57.250000,293,289,582,571.537430,1.000000
20,29.125000,57.250000,291,288,579,568.896644,1.000000
20,29.125000,57.250000,296,292,588,576.655949,1.000000
20,29.125000,57.250000,293,290,583,572.980666,1.000000
20,29.125000,57.250000,289,290,579,566.766515,1.000000
20,29.125000,57.250000,296,291,587,576.138375,1.000000
20,29.125000,57.250000,293,289,582,572.151491,1.000000
21,29.125000,57.250000,304,304,608,598.193548,1.000000
21,29.125000,57.250000,305,298,603,593.122345,1.000000
21,29.125000,57.250000,301,296,597,585.422557,1.000000
21,29.125000,57.250000,305,301,606,597.449461,1.000000
21,29.125000,57.250000,298,294,592,582.302534,1.000000
21,29.125000,57.250000,297,293,590,581.675218,1.000000
21,29.125000,57.250000,301,299,600,590.322581,1.000000
21,29.125000,57.250000,306,303,609,600.253142,1.000000
21,29.125000,57.250000,296,296,592,581.855754,1.000000
21,29.125000,57.250000,308,306,614,600.713340,1.000000
22,29.125000,57.250000,311,309,620,609.404297,1.000000
22,29.125000,57.250000,307,306,613,602.376861,1.000000
22,29.125000,57.250000,314,310,624,615.590296,1.000000
22,29.125000,57.250000,310,307,617,607.642368,1.000000
22,29.125000,57.250000,318,314,632,623.941148,1.000000
22,29.125000,57.250000,303,303,606,595.934538,1.000000
22,29.125000,57.250000,309,308,617,606.307542,1.000000
22,29.125000,57.250000,310,307,617,608.833824,1.000000
22,29.125000,57.250000,308,303,611,603.208926,1.000000
22,29.125000,57.250000,314,306,620,612.695140,1.000000
23,29.125000,57.250000,318,315,633,626.303949,1.000000
23,29.125000,57.250000,318,311,629,621.907681,1.000000
23,29.125000,57.250000,321,317,638,633.335377,1.000000
23,29.125000,57.250000,327,322,649,639.429073,1.000000
23,29.125000,57.250000,327,324,651,641.249473,1.000000
23,29.125000,57.250000,318,314,632,625.167568,1.000000
23,29.125000,57.250000,320,315,635,629.763195,1.000000
23,29.125000,57.250000,317,311,628,621.941647,1.000000
23,29.125000,57.250000,320,318,638,629.033029,1.000000
23,29.125000,57.250000,308,306,614,607.362162,1.000000
24,29.125000,57.250000,322,322,644,637.468560,1.000000
24,29.125000,57.250000,330,327,657,648.728417,1.000000
24,29.125000,57.250000,325,329,654,645.185984,1.000000
24,29.125000,57.250000,328,321,649,641.261642,1.000000
24,29.125000,57.250000,331,326,657,650.190176,1.000000
24,29.125000,57.250000,324,323,647,640.871448,1.000000
24,29.125000,57.250000,327,320,647,640.005405,1.000000
24,29.125000,57.250000,329,323,652,644.080972,1.000000
24,29.125000,57.250000,339,330,669,661.171917,1.000000
24,29.125000,57.250000,324,322,646,638.297413,1.000000
25,29.125000,57.250000,341,338,679,673.406677,1.000000
25,29.125000,57.250000,339,338,677,671.277633,1.000000
25,29.125000,57.250000,346,342,688,682.480486,1.000000
25,29.125000,57.250000,341,333,674,669.609121,1.000000
25,29.125000,57.250000,343,335,678,671.686877,1.000000
25,29.125000,57.250000,343,340,683,678.992829,1.000000
25,29.125000,57.250000,338,341,679,672.386364,1.000000
25,29.125000,57.250000,346,343,689,686.150414,1.000000
25,29.125000,57.250000,346,337,683,676.493830,1.000000
25,29.125000,57.250000,346,339,685,680.981095,1.000000
26,29.125000,57.250000,348,344,692,685.231217,1.000000
26,29.125000,57.250000,355,346,701,694.721516,1.000000
26,29.125000,57.250000,357,348,705,698.685690,1.000000
26,29.125000,57.250000,353,348,701,696.171572,1.000000
26,29.125000,57.250000,350,342,692,688.239130,1.000000
26,29.125000,57.250000,349,349,698,691.892500,1.000000
26,29.125000,57.250000,346,348,694,687.211655,1.000000
26,29.125000,57.250000,349,344,693,688.945675,1.000000
26,29.125000,57.250000,348,347,695,690.933974,1.000000
26,29.125000,57.250000,347,342,689,685.685421,1.000000
27,29.125000,57.250000,359,353,712,707.845473,1.000000
27,29.125000,57.250000,362,358,720,715.079397,1.000000
27,29.125000,57.250000,356,351,707,705.144732,1.000000
27,29.125000,57.250000,359,354,713,710.125580,1.000000
27,29.125000,57.250000,358,360,718,713.666868,1.000000
27,29.125000,57.250000,361,360,721,716.072563,1.000000
27,29.125000,57.250000,363,356,719,715.236360,1.000000
27,29.125000,57.250000,350,347,697,693.910336,1.000000
27,29.125000,57.250000,357,348,705,700.604385,1.000000
27,29.125000,57.250000,357,347,704,703.430536,1.000000
28,29.125000,57.250000,368,370,738,734.416780,1.000000
28,29.125000,57.250000,369,364,733,728.168282,1.000000
28,29.125000,57.250000,366,368,734,730.010870,1.000000
28,29.125000,57.250000,364,367,731,726.322280,1.000000
28,29.125000,57.250000,364,366,730,725.047490,1.000000
28,29.125000,57.250000,366,358,724,721.886748,1.000000
28,29.125000,57.250000,366,355,721,718.057143,1.000000
28,29.125000,57.250000,363,362,725,723.446933,1.000000
28,29.125000,57.250000,370,359,729,726.306825,1.000000
28,29.125000,57.250000,363,363,726,724.585898,1.000000
29,29.125000,57.250000,376,365,741,739.467281,1.000000
29,29.125000,57.250000,373,372,745,743.878645,1.000000
29,29.125000,57.250000,382,370,752,750.162406,1.000000
29,29.125000,57.250000,376,369,745,745.000000,1.000000
29,29.125000,57.250000,373,370,743,740.210437,1.000000
29,29.125000,57.250000,376,368,744,741.763667,1.000000
29,29.125000,57.250000,382,378,760,756.862451,1.000000
29,29.125000,57.250000,370,363,733,731.346306,1.000000
29,29.125000,57.250000,373,373,746,744.177068,1.000000
29,29.125000,57.250000,373,369,742,739.352985,1.000000
30,29.125000,57.250000,379,364,743,742.594211,1.000000
30,29.125000,57.250000,376,373,749,750.093032,1.000000
30,29.125000,57.250000,375,373,748,745.826371,1.000000
30,29.125000,57.250000,375,375,750,747.956403,1.000000
30,29.125000,57.250000,383,368,751,751.410607,1.000000
30,29.125000,57.250000,379,373,752,750.087209,1.000000
30,29.125000,57.250000,372,371,743,742.188865,1.000000
30,29.125000,57.250000,375,370,745,743.105015,1.000000
30,29.125000,57.250000,372,375,747,747.953675,1.000000
30,29.125000,57.250000,371,374,745,743.510271,1.000000
31,29.125000,57.250000,385,379,764,763.192816,1.000000
31,29.125000,57.250000,391,379,770,770.135755,1.000000
31,29.125000,57.250000,392,390,782,779.663620,1.000000
31,29.125000,57.250000,386,382,768,769.220339,1.000000
31,29.125000,57.250000,385,384,769,768.728987,1.000000
31,29.125000,57.250000,383,375,758,759.472625,1.000000
31,29.125000,57.250000,387,383,770,769.593023,1.000000
31,29.125000,57.250000,390,380,770,770.951288,1.000000
31,29.125000,57.250000,384,383,767,768.897508,1.000000
31,29.125000,57.250000,387,384,771,769.507917,1.000000
32,29.125000,57.250000,394,393,787,786.060379,1.000000
32,29.125000,57.250000,400,392,792,793.354772,1.000000
32,29.125000,57.250000,385,387,772,772.659716,1.000000
32,29.125000,57.250000,397,393,790,792.028762,1.000000
32,29.125000,57.250000,390,389,779,779.798974,1.000000
32,29.125000,57.250000,387,388,775,773.019928,1.000000
32,29.125000,57.250000,385,379,764,765.175988,1.000000
32,29.125000,57.250000,388,382,770,772.506425,1.000000
32,29.125000,57.250000,387,381,768,771.557385,1.000000
32,29.125000,57.250000,389,383,772,772.527683,1.000000
33,29.125000,57.250000,403,396,799,798.206948,1.000000
33,29.125000,57.250000,392,391,783,785.080027,1.000000
33,29.125000,57.250000,403,397,800,802.791625,1.000000
33,29.125000,57.250000,400,403,803,805.668217,1.000000
33,29.125000,57.250000,394,390,784,785.821743,1.000000
33,29.125000,57.250000,401,396,797,799.382661,1.000000
33,29.125000,57.250000,398,390,788,790.355755,1.000000
33,29.125000,57.250000,394,386,780,781.553011,1.000000
33,29.125000,57.250000,399,394,793,794.578895,1.000000
33,29.125000,57.250000,402,388,790,792.756730,1.000000
34,29.125000,57.250000,412,405,817,821.356277,1.000000
34,29.125000,57.250000,413,401,814,816.888387,1.000000
34,29.125000,57.250000,407,405,812,815.407360,1.000000
34,29.125000,57.250000,403,398,801,804.231402,1.000000
34,29.125000,57.250000,411,399,810,812.874194,1.000000
34,29.125000,57.250000,417,412,829,833.420262,1.000000
34,29.125000,57.250000,407,399,806,808.860000,1.000000
34,29.125000,57.250000,417,408,825,828.997093,1.000000
34,29.125000,57.250000,402,399,801,803.971931,1.000000
34,29.125000,57.250000,412,402,814,816.098614,1.000000
35,29.125000,57.250000,412,400,812,817.359736,1.000000
35,29.125000,57.250000,421,416,837,838.964789,1.000000
35,29.125000,57.250000,416,405,821,822.669743,1.000000
35,29.125000,57.250000,411,408,819,820.794085,1.000000
35,29.125000,57.250000,417,412,829,836.180315,1.000000
35,29.125000,57.250000,425,415,840,844.085347,1.000000
35,29.125000,57.250000,412,407,819,824.017436,1.000000
35,29.125000,57.250000,424,419,843,848.431018,1.000000
35,29.125000,57.250000,418,416,834,836.350399,1.000000
35,29.125000,57.250000,420,417,837,839.227458,1.000000
36,29.125000,57.250000,423,419,842,847.143555,1.000000
36,29.125000,57.250000,427,424,851,855.023334,1.000000
36,29.125000,57.250000,424,421,845,850.811554,1.000000
36,29.125000,57.250000,430,426,856,860.046973,1.000000
36,29.125000,57.250000,426,423,849,852.493827,1.000000
36,29.125000,57.250000,426,425,851,854.371838,1.000000
36,29.125000,57.250000,418,410,828,833.949549,1.000000
36,29.125000,57.250000,428,424,852,857.990828,1.000000
36,29.125000,57.250000,429,422,851,856.067797,1.000000
36,29.125000,57.250000,432,422,854,859.085662,1.000000
37,29.125000,57.250000,437,434,871,874.616788,1.000000
37,29.125000,57.250000,436,427,863,868.128510,1.000000
37,29.125000,57.250000,430,423,853,859.729533,1.000000
37,29.125000,57.250000,431,424,855,862.772727,1.000000
37,29.125000,57.250000,435,430,865,869.365445,1.000000
37,29.125000,57.250000,438,425,863,870.067451,1.000000
37,29.125000,57.250000,433,425,858,863.612011,1.000000
37,29.125000,57.250000,432,428,860,864.982175,1.000000
37,29.125000,57.250000,436,429,865,871.046252,1.000000
37,29.125000,57.250000,438,431,869,876.900000,1.000000
38,29.125000,57.250000,446,434,880,887.401392,1.000000
38,29.125000,57.250000,440,436,876,881.578003,1.000000
38,29.125000,57.250000,442,438,880,885.731654,1.000000
38,29.125000,57.250000,443,435,878,883.462885,1.000000
38,29.125000,57.250000,436,430,866,871.766647,1.000000
38,29.125000,57.250000,447,437,884,889.757707,1.000000
38,29.125000,57.250000,450,440,890,897.485499,1.000000
38,29.125000,57.250000,444,438,882,887.744681,1.000000
38,29.125000,57.250000,443,441,884,888.857143,1.000000
38,29.125000,57.250000,443,443,886,892.158123,1.000000
39,29.125000,57.250000,460,452,912,917.140200,1.000000
39,29.125000,57.250000,456,448,904,911.921979,1.000000
39,29.125000,57.250000,446,439,885,892.377084,1.000000
39,29.125000,57.250000,451,441,892,898.927422,1.000000
39,29.125000,57.250000,452,446,898,904.080406,1.000000
39,29.125000,57.250000,454,446,900,905.710660,1.000000
39,29.125000,57.250000,452,443,895,903.737267,1.000000
39,29.125000,57.250000,454,440,894,902.344506,1.000000
39,29.125000,57.250000,445,438,883,891.367893,1.000000
39,29.125000,57.250000,453,445,898,906.510042,1.000000
40,29.125000,57.250000,463,461,924,930.354883,1.000000
40,29.125000,57.250000,464,458,922,929.747899,1.000000
40,29.125000,57.250000,459,451,910,917.899959,1.000000
40,29.125000,57.250000,464,457,921,926.696907,1.000000
40,29.125000,57.250000,461,452,913,921.052922,1.000000
40,29.125000,57.250000,458,456,914,922.315964,1.000000
40,29.125000,57.250000,462,458,920,927.475554,1.000000
40,29.125000,57.250000,459,453,912,919.283944,1.000000
40,29.125000,57.250000,457,456,913,919.279230,1.000000
40,29.125000,57.250000,462,452,914,922.315964,1.000000
41,29.125000,57.250000,465,457,922,931.685657,1.000000
41,29.125000,57.250000,469,461,930,940.149555,1.000000
41,29.125000,57.250000,463,458,921,928.923646,1.000000
41,29.125000,57.250000,467,458,925,932.206179,1.000000
41,29.125000,57.250000,474,467,941,947.440016,1.000000
41,29.125000,57.250000,473,468,941,947.694362,1.000000
41,29.125000,57.250000,467,458,925,935.220994,1.000000
