NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
20,29.125000,57.250000,298,300,598,587.249799,1.000000
20,29.125000,57.250000,301,297,598,588.196721,1.000000
20,29.125000,57.250000,305,304,609,596.930905,1.000000
20,29.125000,57.250000,305,305,610,599.677679,1.000000
20,29.125000,57.250000,308,304,612,602.290938,1.000000
20,29.125000,57.250000,298,297,595,586.664871,1.000000
20,29.125000,57.250000,302,301,603,593.114754,1.000000
20,29.125000,57.250000,298,300,598,587.249799,1.000000
20,29.125000,57.250000,303,300,603,593.912809,1.000000
20,29.125000,57.250000,305,300,605,594.922085,1.000000
21,29.125000,57.250000,310,306,616,606.685802,1.000000
21,29.125000,57.250000,313,311,624,615.037702,1.000000
21,29.125000,57.250000,311,310,621,613.181655,1.000000
21,29.125000,57.250000,307,310,617,607.514988,1.000000
21,29.125000,57.250000,315,313,628,617.238875,1.000000
21,29.125000,57.250000,315,311,626,619.551378,1.000000
21,29.125000,57.250000,315,311,626,615.903226,1.000000
21,29.125000,57.250000,313,309,622,613.696021,1.000000
21,29.125000,57.250000,310,307,617,608.450346,1.000000
21,29.125000,57.250000,306,304,610,598.323124,1.000000
22,29.125000,57.250000,323,320,643,634.800883,1.000000
22,29.125000,57.250000,317,315,632,625.014001,1.000000
22,29.125000,57.250000,321,319,640,630.293542,1.000000
22,29.125000,57.250000,316,311,627,621.443131,1.000000
22,29.125000,57.250000,321,320,641,631.432836,1.000000
22,29.125000,57.250000,320,320,640,629.985330,1.000000
22,29.125000,57.250000,317,319,636,627.274865,1.000000
22,29.125000,57.250000,313,312,625,617.333170,1.000000
22,29.125000,57.250000,324,324,648,640.051030,1.000000
22,29.125000,57.250000,323,322,645,635.062362,1.000000
23,29.125000,57.250000,330,325,655,649.751355,1.000000
23,29.125000,57.250000,326,324,650,643.124118,1.000000
23,29.125000,57.250000,336,338,674,666.243776,1.000000
23,29.125000,57.250000,329,326,655,647.918919,1.000000
23,29.125000,57.250000,341,334,675,668.645564,1.000000
23,29.125000,57.250000,322,323,645,638.927983,1.000000
23,29.125000,57.250000,327,323,650,644.487633,1.000000
23,29.125000,57.250000,339,335,674,667.654978,1.000000
23,29.125000,57.250000,329,323,652,645.406397,1.000000
23,29.125000,57.250000,334,330,664,658.058865,1.000000
24,29.125000,57.250000,337,334,671,665.094110,1.000000
24,29.125000,57.250000,339,336,675,667.702703,1.000000
24,29.125000,57.250000,338,340,678,669.012806,1.000000
24,29.125000,57.250000,337,334,671,665.394446,1.000000
24,29.125000,57.250000,351,343,694,688.357724,1.000000
24,29.125000,57.250000,345,342,687,681.876610,1.000000
24,29.125000,57.250000,340,336,676,671.413840,1.000000
24,29.125000,57.250000,342,336,678,671.577808,1.000000
24,29.125000,57.250000,344,338,682,676.608087,1.000000
24,29.125000,57.250000,342,338,680,674.776322,1.000000
25,29.125000,57.250000,349,344,693,691.187050,1.000000
25,29.125000,57.250000,351,344,695,689.274875,1.000000
25,29.125000,57.250000,352,350,702,697.123942,1.000000
25,29.125000,57.250000,348,346,694,690.528491,1.000000
25,29.125000,57.250000,352,345,697,691.708243,1.000000
25,29.125000,57.250000,351,346,697,690.360468,1.000000
25,29.125000,57.250000,352,345,697,693.815274,1.000000
25,29.125000,57.250000,348,347,695,691.373125,1.000000
25,29.125000,57.250000,346,345,691,685.605075,1.000000
25,29.125000,57.250000,343,339,682,679.623176,1.000000
26,29.125000,57.250000,352,348,700,698.238994,1.000000
26,29.125000,57.250000,359,357,716,712.108696,1.000000
26,29.125000,57.250000,356,355,711,706.250104,1.000000
26,29.125000,57.250000,360,353,713,711.952571,1.000000
26,29.125000,57.250000,358,360,718,712.905676,1.000000
26,29.125000,57.250000,361,361,722,718.827370,1.000000
26,29.125000,57.250000,362,356,718,711.272954,1.000000
26,29.125000,57.250000,362,357,719,715.541100,1.000000
26,29.125000,57.250000,354,348,702,699.061532,1.000000
26,29.125000,57.250000,353,350,703,700.937552,1.000000
27,29.125000,57.250000,373,365,738,736.063383,1.000000
27,29.125000,57.250000,370,365,735,732.332123,1.000000
27,29.125000,57.250000,375,364,739,736.020762,1.000000
27,29.125000,57.250000,367,363,730,729.852287,1.000000
27,29.125000,57.250000,368,362,730,729.262030,1.000000
27,29.125000,57.250000,369,364,733,731.224107,1.000000
27,29.125000,57.250000,370,366,736,733.328494,1.000000
27,29.125000,57.250000,368,363,731,729.081752,1.000000
27,29.125000,57.250000,373,363,736,732.000000,1.000000
27,29.125000,57.250000,365,362,727,726.118253,1.000000
28,29.125000,57.250000,376,373,749,749.878077,1.000000
28,29.125000,57.250000,379,381,760,755.576251,1.000000
28,29.125000,57.250000,377,375,752,749.805020,1.000000
28,29.125000,57.250000,381,371,752,751.706594,1.000000
28,29.125000,57.250000,370,364,734,734.143275,1.000000
28,29.125000,57.250000,384,381,765,764.850732,1.000000
28,29.125000,57.250000,378,377,755,752.064541,1.000000
28,29.125000,57.250000,376,369,745,741.959184,1.000000
28,29.125000,57.250000,377,374,751,748.516631,1.000000
28,29.125000,57.250000,378,371,749,748.853854,1.000000
29,29.125000,57.250000,390,386,776,777.024906,1.000000
29,29.125000,57.250000,379,380,759,758.714070,1.000000
29,29.125000,57.250000,384,383,767,765.125752,1.000000
29,29.125000,57.250000,387,382,769,768.710303,1.000000
29,29.125000,57.250000,389,379,768,769.304643,1.000000
29,29.125000,57.250000,387,384,771,766.953515,1.000000
29,29.125000,57.250000,391,381,772,772.000000,1.000000
29,29.125000,57.250000,384,383,767,768.157954,1.000000
29,29.125000,57.250000,391,383,774,773.271461,1.000000
29,29.125000,57.250000,393,390,783,782.705029,1.000000
30,29.125000,57.250000,392,390,782,780.862132,1.000000
30,29.125000,57.250000,389,390,779,778.858131,1.000000
30,29.125000,57.250000,397,393,790,791.008572,1.000000
30,29.125000,57.250000,397,387,784,786.147945,1.000000
30,29.125000,57.250000,396,388,784,786.578947,1.000000
30,29.125000,57.250000,391,391,782,781.004184,1.000000
30,29.125000,57.250000,394,386,780,781.851378,1.000000
30,29.125000,57.250000,389,389,778,779.704272,1.000000
30,29.125000,57.250000,390,386,776,774.307525,1.000000
30,29.125000,57.250000,396,394,790,790.431930,1.000000
31,29.125000,57.250000,398,397,795,797.671560,1.000000
31,29.125000,57.250000,405,393,798,798.985881,1.000000
31,29.125000,57.250000,404,396,800,802.262683,1.000000
31,29.125000,57.250000,402,393,795,794.859887,1.000000
31,29.125000,57.250000,401,391,792,794.661479,1.000000
31,29.125000,57.250000,410,400,810,810.428571,1.000000
31,29.125000,57.250000,403,398,801,804.403080,1.000000
31,29.125000,57.250000,403,397,800,802.404526,1.000000
31,29.125000,57.250000,401,402,803,803.566590,1.000000
31,29.125000,57.250000,409,403,812,812.429630,1.000000
32,29.125000,57.250000,407,403,810,811.246793,1.000000
32,29.125000,57.250000,405,401,806,810.289442,1.000000
32,29.125000,57.250000,407,398,805,806.377010,1.000000
32,29.125000,57.250000,407,403,810,811.385563,1.000000
32,29.125000,57.250000,415,409,824,829.809802,1.000000
32,29.125000,57.250000,414,405,819,824.349261,1.000000
32,29.125000,57.250000,408,401,809,813.445055,1.000000
32,29.125000,57.250000,408,404,812,815.621269,1.000000
32,29.125000,57.250000,411,403,814,818.753693,1.000000
32,29.125000,57.250000,409,399,808,813.696991,1.000000
33,29.125000,57.250000,413,413,826,828.469357,1.000000
33,29.125000,57.250000,423,417,840,844.615385,1.000000
33,29.125000,57.250000,422,413,835,835.691912,1.000000
33,29.125000,57.250000,421,419,840,843.772455,1.000000
33,29.125000,57.250000,422,413,835,840.707736,1.000000
33,29.125000,57.250000,417,412,829,835.781469,1.000000
33,29.125000,57.250000,421,414,835,837.079183,1.000000
33,29.125000,57.250000,422,413,835,837.496263,1.000000
33,29.125000,57.250000,425,417,842,845.219082,1.000000
33,29.125000,57.250000,418,412,830,833.866245,1.000000
34,29.125000,57.250000,425,420,845,852.121556,1.000000
34,29.125000,57.250000,433,417,850,851.094303,1.000000
34,29.125000,57.250000,426,423,849,854.217012,1.000000
34,29.125000,57.250000,424,415,839,842.520658,1.000000
34,29.125000,57.250000,425,418,843,847.221127,1.000000
34,29.125000,57.250000,432,424,856,862.375648,1.000000
34,29.125000,57.250000,419,415,834,838.040698,1.000000
34,29.125000,57.250000,429,416,845,851.293718,1.000000
34,29.125000,57.250000,428,424,852,857.512779,1.000000
34,29.125000,57.250000,435,429,864,870.153448,1.000000
35,29.125000,57.250000,439,440,879,882.721072,1.000000
35,29.125000,57.250000,436,433,869,874.598523,1.000000
35,29.125000,57.250000,440,430,870,876.293442,1.000000
35,29.125000,57.250000,428,426,854,861.125630,1.000000
35,29.125000,57.250000,436,427,863,869.516281,1.000000
35,29.125000,57.250000,436,431,867,872.722772,1.000000
35,29.125000,57.250000,437,434,871,875.785714,1.000000
35,29.125000,57.250000,435,428,863,867.061176,1.000000
35,29.125000,57.250000,430,427,857,863.742722,1.000000
35,29.125000,57.250000,441,433,874,880.737885,1.000000
36,29.125000,57.250000,441,436,877,883.166616,1.000000
36,29.125000,57.250000,454,446,900,906.605505,1.000000
