NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100,100,100,100.000000,100.000000
45,417,378,795,909.407557,0.908925
45,405,378,783,894.066140,0.907832
45,410,372,782,903.320241,0.900668
45,401,375,776,890.022284,0.906375
45,416,385,801,912.090017,0.913661
45,411,386,797,902.543317,0.915726
45,415,384,799,908.681812,0.912447
45,419,387,806,923.016270,0.907832
45,410,374,784,894.711752,0.911597
45,407,372,779,902.513365,0.900546
45,401,376,777,886.354758,0.912568
45,414,379,793,897.643299,0.914511
45,408,371,779,886.303537,0.912325
45,419,375,794,907.633259,0.905161
45,410,376,786,906.542017,0.900911
45,410,371,781,906.488372,0.899818
45,410,381,791,898.342987,0.912690
45,413,385,798,900.332922,0.921797
45,412,384,796,896.234619,0.922283
45,404,375,779,884.470564,0.914147
45,415,374,789,894.467924,0.910504
45,414,376,790,907.849567,0.906132
45,410,369,779,894.335006,0.909532
45,407,380,787,895.529225,0.913175
45,411,377,788,897.535270,0.910868
45,408,375,783,888.889578,0.915483
45,403,378,781,887.108276,0.916818
45,411,373,784,895.704772,0.909654
45,413,396,809,916.384457,0.915847
45,415,378,793,904.481302,0.909775
45,411,380,791,900.080835,0.912447
45,417,388,805,911.728098,0.911840
45,419,375,794,901.750103,0.914026
45,408,368,776,893.256919,0.903825
45,406,384,790,897.207282,0.916211
45,410,388,798,896.280687,0.918519
45,409,382,791,901.950291,0.910990
45,409,381,790,892.407407,0.917304
45,408,375,783,901.188679,0.905282
45,410,365,775,898.131860,0.897025
45,415,403,818,911.286526,0.927990
45,409,378,787,893.184261,0.915240
45,404,386,790,894.493332,0.917061
45,404,375,779,888.144123,0.913297
45,407,380,787,890.606706,0.912933
45,411,378,789,903.548185,0.909168
45,409,375,784,894.835759,0.906618
45,408,374,782,900.919138,0.901396
45,406,378,784,891.376501,0.913783
45,408,379,787,890.239698,0.918397
45,412,383,795,894.741697,0.918761
45,405,377,782,886.898499,0.916333
45,416,391,807,908.495557,0.919733
45,399,374,773,886.087834,0.909168
45,409,365,774,883.912079,0.907225
45,415,381,796,908.406319,0.911475
45,413,382,795,914.488755,0.904554
45,424,386,810,919.034169,0.914147
45,417,388,805,914.495103,0.913418
45,415,384,799,913.983192,0.908075
45,402,374,776,885.827558,0.911840
45,407,385,792,897.374794,0.919247
45,415,382,797,907.786307,0.911111
45,414,382,796,909.666944,0.907711
45,403,382,785,890.178326,0.914268
45,408,381,789,892.256935,0.912447
45,408,370,778,884.066510,0.911718
45,405,380,785,894.860880,0.910504
45,420,387,807,919.812457,0.912447
45,411,376,787,890.362000,0.915968
45,411,383,794,899.146040,0.915483
45,400,384,784,885.022618,0.919247
45,414,389,803,906.098246,0.917183
45,420,379,799,911.577307,0.910990
45,406,377,783,897.301002,0.904797
45,407,376,783,890.608425,0.911111
45,404,381,785,892.513461,0.914390
45,408,380,788,895.800663,0.913783
45,404,385,789,892.870001,0.916333
45,409,385,794,898.775258,0.916454
45,408,385,793,889.209559,0.924104
45,419,381,800,907.313042,0.917183
45,399,380,779,895.208624,0.902732
45,407,368,775,887.515645,0.910747
45,412,385,797,906.782951,0.914876
45,412,370,782,895.656467,0.909047
45,410,383,793,893.345417,0.921676
45,416,387,803,910.088770,0.916697
45,420,381,801,916.907840,0.906254
45,415,385,800,913.097713,0.913297
45,402,378,780,890.887656,0.910018
45,413,379,792,904.468174,0.909532
45,414,374,788,901.650688,0.906375
45,404,376,780,894.111915,0.905525
45,410,385,795,904.257597,0.913661
45,418,377,795,901.394052,0.915240
45,410,381,791,901.201577,0.912083
45,401,384,785,889.443451,0.916576
45,414,378,792,900.347874,0.910018
45,412,373,785,900.219329,0.903461
