NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100,100,100,100.000000,100.000000
225,1272,1455,2727,3161.332986,0.908270
225,1269,1479,2748,3170.502690,0.911378
225,1273,1460,2733,3158.329357,0.911815
225,1269,1458,2727,3166.325221,0.908682
225,1243,1458,2701,3145.183117,0.905161
225,1266,1478,2744,3176.390216,0.908172
225,1272,1468,2740,3164.553589,0.911743
225,1271,1481,2752,3182.966292,0.908561
225,1276,1480,2756,3180.445628,0.911573
225,1287,1479,2766,3172.159708,0.916891
225,1258,1469,2727,3151.041842,0.909241
225,1291,1475,2766,3175.255102,0.913248
225,1262,1477,2739,3151.200788,0.911257
225,1271,1477,2748,3154.415946,0.914900
225,1252,1474,2726,3166.771527,0.904967
225,1282,1468,2750,3173.966363,0.911063
225,1268,1462,2730,3164.276264,0.907687
225,1275,1474,2749,3194.391686,0.904651
225,1277,1464,2741,3152.004552,0.914317
225,1251,1473,2724,3151.289616,0.909751
225,1262,1476,2738,3182.417784,0.908270
225,1281,1463,2744,3155.542522,0.914924
225,1281,1465,2746,3175.045632,0.911330
225,1274,1465,2739,3161.093281,0.912010
225,1259,1478,2737,3158.608005,0.910868
225,1291,1483,2774,3199.334753,0.911475
225,1270,1469,2739,3157.553126,0.912860
225,1260,1462,2722,3147.207402,0.909727
225,1268,1482,2750,3160.588679,0.912277
225,1267,1471,2738,3157.903361,0.912568
225,1277,1462,2739,3173.010860,0.910237
225,1265,1467,2732,3166.237897,0.909168
225,1237,1472,2709,3140.377685,0.906230
225,1270,1484,2754,3173.512538,0.911500
225,1227,1463,2690,3121.252043,0.905938
225,1255,1474,2729,3153.087381,0.908367
225,1273,1464,2737,3160.290942,0.911160
225,1272,1465,2737,3162.153119,0.909362
225,1256,1471,2727,3159.109389,0.907322
225,1273,1470,2743,3170.864567,0.911451
225,1253,1464,2717,3151.337324,0.906715
225,1243,1471,2714,3172.793220,0.901688
225,1269,1482,2751,3178.773783,0.907468
225,1278,1473,2751,3175.654630,0.911330
225,1270,1494,2764,3207.657835,0.907128
225,1272,1467,2739,3151.464958,0.912083
225,1279,1475,2754,3170.495722,0.912714
225,1300,1464,2764,3173.401556,0.915288
225,1281,1476,2757,3163.688618,0.913345
225,1256,1457,2713,3145.900335,0.907565
225,1248,1468,2716,3144.420076,0.907565
225,1281,1463,2744,3155.895087,0.914026
225,1279,1478,2757,3175.902949,0.911208
225,1284,1468,2752,3160.064700,0.912835
225,1257,1465,2722,3151.632360,0.908075
225,1276,1477,2753,3162.624156,0.913273
225,1253,1464,2717,3148.410632,0.907614
225,1271,1471,2742,3170.687767,0.909241
225,1293,1475,2768,3166.955652,0.917207
225,1269,1484,2753,3171.472637,0.910213
225,1266,1456,2722,3142.794852,0.911694
225,1257,1447,2704,3143.609001,0.905865
225,1263,1458,2721,3160.606381,0.906400
225,1282,1471,2753,3162.977147,0.915604
225,1272,1460,2732,3150.453705,0.911937
225,1269,1463,2732,3150.012601,0.914608
225,1243,1462,2705,3133.182598,0.910334
225,1271,1468,2739,3161.713625,0.908852
225,1262,1469,2731,3160.897400,0.909290
225,1280,1452,2732,3155.048522,0.909484
225,1273,1453,2726,3150.328384,0.908998
225,1244,1451,2695,3134.384798,0.906108
225,1292,1472,2764,3172.340070,0.913345
225,1241,1464,2705,3137.419014,0.908197
225,1274,1467,2741,3157.383550,0.914366
225,1250,1472,2722,3142.618607,0.909071
225,1258,1470,2728,3175.635408,0.904092
225,1268,1457,2725,3146.699806,0.908950
225,1263,1471,2734,3162.502809,0.907565
225,1270,1483,2753,3185.196555,0.908391
225,1276,1487,2763,3188.166265,0.911524
225,1258,1475,2733,3164.813539,0.906060
225,1283,1484,2767,3178.973325,0.913855
225,1262,1481,2743,3166.952444,0.909921
225,1287,1464,2751,3152.937288,0.917668
225,1264,1458,2722,3155.358953,0.906910
225,1284,1470,2754,3171.914685,0.913054
225,1292,1480,2772,3196.938547,0.911670
225,1248,1467,2715,3137.704193,0.911305
225,1273,1462,2735,3152.765335,0.913370
225,1256,1461,2717,3163.993297,0.905671
225,1264,1457,2721,3136.100070,0.913977
225,1254,1482,2736,3178.478120,0.906521
225,1277,1476,2753,3184.122893,0.910868
225,1267,1471,2738,3162.864718,0.908658
225,1245,1457,2702,3140.751771,0.904748
225,1280,1464,2744,3176.926105,0.907541
225,1283,1480,2763,3190.580391,0.910043
225,1288,1465,2753,3159.891144,0.915507
225,1275,1491,2766,3191.538462,0.909484
