NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100.000000,100.000000,100,100,100,100.000000,100.000000
45,12.000000,8.000000,305,297,602,678.362069,0.927383
45,12.000000,8.000000,305,295,600,687.204451,0.916818
45,12.000000,8.000000,305,291,596,683.954849,0.911597
45,12.000000,8.000000,305,302,607,685.685185,0.926290
45,12.000000,8.000000,305,299,604,685.587870,0.919490
45,12.000000,8.000000,317,308,625,701.687117,0.928233
45,12.000000,8.000000,303,298,601,678.628137,0.926169
45,12.000000,8.000000,308,298,606,691.096801,0.917668
45,12.000000,8.000000,308,297,605,683.425926,0.925440
45,12.000000,8.000000,308,295,603,687.389950,0.919490
45,12.000000,8.000000,305,297,602,678.547769,0.930055
45,12.000000,8.000000,310,294,604,693.232056,0.917547
45,12.000000,8.000000,304,295,599,680.193740,0.919369
45,12.000000,8.000000,302,295,597,677.082358,0.921919
45,12.000000,8.000000,309,301,610,687.753286,0.928233
45,12.000000,8.000000,306,291,597,683.293259,0.917790
45,12.000000,8.000000,305,302,607,690.039343,0.921676
45,12.000000,8.000000,308,306,614,691.127665,0.925926
45,12.000000,8.000000,308,296,604,681.828650,0.923740
45,12.000000,8.000000,318,308,626,700.708169,0.931148
45,12.000000,8.000000,304,300,604,680.057424,0.928112
45,12.000000,8.000000,308,291,599,692.901391,0.911961
45,12.000000,8.000000,302,286,588,676.943940,0.909775
45,12.000000,8.000000,305,294,599,682.169133,0.922283
45,12.000000,8.000000,310,294,604,685.210084,0.923983
45,12.000000,8.000000,306,294,600,684.254258,0.922647
45,12.000000,8.000000,313,306,619,703.001655,0.920097
45,12.000000,8.000000,304,302,606,685.872732,0.923740
45,12.000000,8.000000,304,307,611,688.692171,0.924590
45,12.000000,8.000000,305,291,596,681.485698,0.919976
45,12.000000,8.000000,311,296,607,690.802239,0.916090
45,12.000000,8.000000,306,303,609,683.537549,0.933940
45,12.000000,8.000000,311,291,602,685.680498,0.916576
45,12.000000,8.000000,298,301,599,675.536154,0.926290
45,12.000000,8.000000,321,298,619,703.389678,0.918033
45,12.000000,8.000000,304,290,594,677.130399,0.920947
45,12.000000,8.000000,312,304,616,693.378896,0.930055
45,12.000000,8.000000,303,291,594,689.636261,0.910261
45,12.000000,8.000000,307,301,608,689.178252,0.924226
45,12.000000,8.000000,313,292,605,691.488550,0.920583
45,12.000000,8.000000,310,288,598,690.096693,0.912933
45,12.000000,8.000000,308,294,602,679.943766,0.920219
45,12.000000,8.000000,307,295,602,686.820449,0.918640
45,12.000000,8.000000,311,288,599,684.630812,0.916818
45,12.000000,8.000000,318,297,615,702.138500,0.916454
45,12.000000,8.000000,297,290,587,674.378488,0.914511
45,12.000000,8.000000,312,304,616,699.016122,0.922162
45,12.000000,8.000000,310,301,611,693.533425,0.922040
45,12.000000,8.000000,312,289,601,686.535581,0.917547
45,12.000000,8.000000,309,296,605,686.155488,0.923862
45,12.000000,8.000000,306,291,597,679.233904,0.919733
45,12.000000,8.000000,312,297,609,690.311769,0.918640
45,12.000000,8.000000,308,294,602,679.105479,0.926533
45,12.000000,8.000000,304,301,605,682.396247,0.926776
45,12.000000,8.000000,311,301,612,691.333333,0.926776
45,12.000000,8.000000,303,301,604,685.682382,0.918033
45,12.000000,8.000000,297,285,582,667.795736,0.916818
45,12.000000,8.000000,305,293,598,679.526701,0.916697
45,12.000000,8.000000,312,300,612,687.748362,0.930055
45,12.000000,8.000000,311,307,618,692.318052,0.932362
45,12.000000,8.000000,314,304,618,701.092437,0.921069
45,12.000000,8.000000,310,297,607,695.028504,0.917668
45,12.000000,8.000000,316,290,606,695.430602,0.911597
45,12.000000,8.000000,317,294,611,702.539095,0.914268
45,12.000000,8.000000,316,297,613,697.148874,0.924347
45,12.000000,8.000000,320,297,617,704.812734,0.915726
45,12.000000,8.000000,303,308,611,689.352651,0.925804
45,12.000000,8.000000,310,291,601,695.312588,0.907954
45,12.000000,8.000000,297,299,596,681.769690,0.914026
45,12.000000,8.000000,301,300,601,677.977397,0.927383
45,12.000000,8.000000,307,294,601,689.308496,0.910990
45,12.000000,8.000000,307,299,606,689.283149,0.918033
