NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100.000000,100.000000,100,100,100,100.000000,100.000000
225,12.000000,8.000000,1586,1576,3162,3470.210299,0.945501
225,12.000000,8.000000,1581,1579,3160,3471.253635,0.944117
225,12.000000,8.000000,1583,1584,3167,3477.366000,0.943801
225,12.000000,8.000000,1586,1584,3170,3477.599712,0.945841
225,12.000000,8.000000,1577,1570,3147,3472.258026,0.941469
225,12.000000,8.000000,1581,1580,3161,3476.340144,0.943679
225,12.000000,8.000000,1580,1580,3160,3467.553234,0.944748
225,12.000000,8.000000,1588,1573,3161,3473.834975,0.945477
225,12.000000,8.000000,1578,1571,3149,3463.050533,0.942174
225,12.000000,8.000000,1578,1577,3155,3474.660310,0.942247
225,12.000000,8.000000,1584,1582,3166,3479.794191,0.944967
225,12.000000,8.000000,1581,1580,3161,3482.851887,0.942587
225,12.000000,8.000000,1594,1583,3177,3480.549569,0.945234
225,12.000000,8.000000,1583,1575,3158,3473.226401,0.943631
225,12.000000,8.000000,1582,1580,3162,3471.968586,0.945112
225,12.000000,8.000000,1583,1577,3160,3468.477594,0.944529
225,12.000000,8.000000,1581,1578,3159,3478.135278,0.944699
225,12.000000,8.000000,1578,1578,3156,3471.119481,0.942684
225,12.000000,8.000000,1588,1577,3165,3474.892009,0.943971
225,12.000000,8.000000,1580,1574,3154,3470.959508,0.942489
225,12.000000,8.000000,1592,1585,3177,3477.218900,0.946278
225,12.000000,8.000000,1576,1571,3147,3469.004498,0.942781
225,12.000000,8.000000,1585,1581,3166,3474.229785,0.944821
225,12.000000,8.000000,1582,1581,3163,3474.085707,0.945428
225,12.000000,8.000000,1574,1573,3147,3467.333628,0.943218
225,12.000000,8.000000,1583,1578,3161,3464.864631,0.945331
225,12.000000,8.000000,1584,1578,3162,3473.728655,0.945647
225,12.000000,8.000000,1579,1572,3151,3465.990570,0.942222
225,12.000000,8.000000,1584,1580,3164,3473.886726,0.944359
225,12.000000,8.000000,1579,1578,3157,3473.611111,0.943801
225,12.000000,8.000000,1578,1586,3164,3477.039073,0.945039
225,12.000000,8.000000,1584,1583,3167,3478.107996,0.945938
225,12.000000,8.000000,1582,1579,3161,3473.186076,0.944044
225,12.000000,8.000000,1587,1587,3174,3476.153048,0.947444
225,12.000000,8.000000,1581,1576,3157,3473.054264,0.942732
225,12.000000,8.000000,1587,1582,3169,3481.697441,0.944869
225,12.000000,8.000000,1578,1571,3149,3469.537208,0.941785
225,12.000000,8.000000,1575,1579,3154,3466.697365,0.943267
225,12.000000,8.000000,1580,1579,3159,3475.718809,0.943291
225,12.000000,8.000000,1589,1582,3171,3482.500934,0.944602
225,12.000000,8.000000,1577,1576,3153,3470.508314,0.943121
225,12.000000,8.000000,1587,1583,3170,3472.695951,0.946302
225,12.000000,8.000000,1581,1579,3160,3476.540373,0.942465
225,12.000000,8.000000,1573,1576,3149,3466.383505,0.942684
225,12.000000,8.000000,1590,1589,3179,3485.708484,0.945987
225,12.000000,8.000000,1579,1575,3154,3462.076458,0.945185
225,12.000000,8.000000,1579,1578,3157,3467.588097,0.943752
225,12.000000,8.000000,1583,1578,3161,3474.391367,0.943509
225,12.000000,8.000000,1575,1574,3149,3462.033403,0.943971
225,12.000000,8.000000,1588,1576,3164,3474.905977,0.945404
225,12.000000,8.000000,1586,1580,3166,3470.807263,0.944505
225,12.000000,8.000000,1584,1582,3166,3477.473524,0.945598
225,12.000000,8.000000,1583,1579,3162,3474.192128,0.944262
225,12.000000,8.000000,1580,1580,3160,3479.143270,0.941372
225,12.000000,8.000000,1578,1574,3152,3472.935510,0.940376
225,12.000000,8.000000,1578,1572,3150,3469.524918,0.939842
225,12.000000,8.000000,1584,1579,3163,3478.075177,0.942635
225,12.000000,8.000000,1577,1573,3150,3471.010517,0.942174
225,12.000000,8.000000,1578,1583,3161,3479.965108,0.941105
225,12.000000,8.000000,1580,1572,3152,3465.424154,0.943485
225,12.000000,8.000000,1575,1576,3151,3464.324718,0.942829
225,12.000000,8.000000,1586,1584,3170,3480.103183,0.944214
225,12.000000,8.000000,1582,1582,3164,3478.060176,0.942999
225,12.000000,8.000000,1580,1580,3160,3473.014094,0.942077
225,12.000000,8.000000,1581,1583,3164,3471.942542,0.943777
225,12.000000,8.000000,1579,1580,3159,3479.344773,0.942125
225,12.000000,8.000000,1579,1581,3160,3466.444652,0.946205
225,12.000000,8.000000,1589,1589,3178,3488.792759,0.944432
225,12.000000,8.000000,1588,1585,3173,3482.653809,0.944869
225,12.000000,8.000000,1579,1577,3156,3475.854598,0.942829
225,12.000000,8.000000,1582,1574,3156,3474.739291,0.942854
225,12.000000,8.000000,1580,1577,3157,3472.126583,0.942125
225,12.000000,8.000000,1579,1572,3151,3474.623058,0.941736
225,12.000000,8.000000,1577,1570,3147,3468.447362,0.942805
225,12.000000,8.000000,1585,1583,3168,3485.621142,0.943121
225,12.000000,8.000000,1580,1573,3153,3470.322775,0.942101
225,12.000000,8.000000,1581,1570,3151,3463.677319,0.944092
225,12.000000,8.000000,1583,1578,3161,3474.205883,0.943607
225,12.000000,8.000000,1578,1575,3153,3462.825078,0.944602
225,12.000000,8.000000,1588,1582,3170,3485.400144,0.945088
225,12.000000,8.000000,1579,1574,3153,3473.944369,0.942538
225,12.000000,8.000000,1581,1576,3157,3480.493601,0.943582
225,12.000000,8.000000,1576,1571,3147,3467.704793,0.942829
225,12.000000,8.000000,1574,1578,3152,3465.701773,0.944724
225,12.000000,8.000000,1574,1572,3146,3469.574126,0.942028
225,12.000000,8.000000,1577,1578,3155,3472.709714,0.942149
225,12.000000,8.000000,1570,1569,3139,3468.263967,0.939308
225,12.000000,8.000000,1576,1575,3151,3471.183482,0.942004
225,12.000000,8.000000,1577,1573,3150,3463.965227,0.943048
225,12.000000,8.000000,1575,1578,3153,3466.708724,0.942878
225,12.000000,8.000000,1575,1579,3154,3470.217513,0.944141
225,12.000000,8.000000,1588,1590,3178,3486.375989,0.946375
225,12.000000,8.000000,1590,1583,3173,3479.685586,0.946521
225,12.000000,8.000000,1587,1583,3170,3477.321771,0.945574
225,12.000000,8.000000,1583,1581,3164,3480.383095,0.941955
225,12.000000,8.000000,1586,1580,3166,3467.207032,0.945574
225,12.000000,8.000000,1584,1574,3158,3470.352825,0.943315
225,12.000000,8.000000,1576,1574,3150,3469.246509,0.943291
225,12.000000,8.000000,1576,1570,3146,3467.066806,0.942999
225,12.000000,8.000000,1581,1576,3157,3469.716928,0.942854
