NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100,100,100,100.000000,100.000000
45,347,324,671,734.017667,0.947420
45,353,309,662,736.101809,0.939891
45,351,323,674,736.419000,0.953005
45,348,319,667,734.422383,0.945841
45,354,319,673,742.021020,0.944384
45,348,315,663,735.921957,0.940134
45,347,322,669,736.624549,0.945355
45,354,313,667,740.262129,0.938919
45,351,322,673,740.039391,0.947905
45,354,310,664,736.833311,0.938555
45,351,314,665,738.440534,0.939284
45,352,317,669,737.808357,0.944869
45,353,322,675,742.337740,0.947905
45,353,316,669,736.329190,0.946448
45,348,314,662,735.505936,0.938676
45,347,320,667,736.194210,0.942562
45,353,326,679,741.488529,0.952884
45,352,311,663,735.327273,0.940134
45,351,306,657,735.407775,0.932483
45,354,319,673,742.319180,0.945234
45,350,322,672,739.235907,0.945477
45,347,316,663,735.624495,0.935762
45,346,317,663,737.114216,0.938191
45,350,316,666,739.152291,0.941834
45,353,307,660,737.062653,0.935762
45,348,319,667,737.281208,0.940255
45,350,316,666,737.561861,0.938798
45,346,315,661,736.780590,0.936005
45,346,315,661,735.387058,0.938676
45,351,315,666,738.953112,0.940498
45,349,318,667,734.324198,0.945355
45,355,313,668,739.478425,0.940619
45,345,318,663,734.832436,0.940984
45,351,315,666,738.953112,0.939405
45,356,314,670,739.703714,0.944262
45,354,310,664,738.924324,0.936855
45,348,319,667,736.292895,0.943534
45,355,317,672,739.235907,0.947177
45,352,320,672,739.532273,0.947420
45,354,319,673,740.929813,0.946084
45,351,305,656,735.488087,0.933698
45,352,318,670,736.445542,0.947662
45,353,324,677,743.246900,0.948634
45,351,314,665,737.247577,0.941469
45,356,304,660,738.866232,0.934426
45,351,317,668,737.297949,0.943655
45,347,328,675,736.339250,0.950941
45,351,321,672,738.348232,0.948027
45,353,307,660,737.162620,0.934669
45,353,312,665,738.440534,0.939526
45,351,312,663,737.114216,0.939284
45,340,316,656,729.922983,0.937098
45,348,316,664,732.686587,0.944869
45,347,316,663,735.030291,0.940012
45,354,314,668,738.684034,0.940862
45,355,308,663,735.822776,0.942319
45,351,310,661,735.188412,0.936491
45,350,311,661,734.791442,0.939648
45,352,316,668,738.981730,0.942805
45,345,313,658,731.950561,0.937948
45,354,314,668,743.476145,0.936976
45,352,317,669,735.542724,0.946084
45,353,314,667,740.461715,0.941348
45,348,323,671,737.347878,0.946934
45,349,321,670,736.052561,0.949484
45,352,318,670,738.812266,0.944627
45,352,316,668,737.001608,0.944991
45,347,314,661,735.784672,0.938434
45,353,314,667,740.262129,0.941226
45,349,318,667,733.441715,0.947298
45,350,321,671,737.446283,0.949484
45,351,317,668,739.876261,0.941591
45,356,315,671,745.706478,0.938312
45,351,311,662,737.695535,0.936855
45,351,319,670,738.713349,0.944869
45,352,311,663,738.510077,0.935398
45,348,311,659,732.370445,0.937948
45,352,309,661,737.679225,0.936491
45,352,313,665,733.790031,0.944384
45,350,314,664,734.063633,0.943291
45,351,313,664,737.031945,0.940012
45,351,321,672,741.812332,0.943777
45,346,321,667,735.504151,0.944019
45,348,323,671,737.347878,0.947177
45,355,309,664,733.965101,0.943048
45,352,325,677,742.257356,0.950334
45,351,318,669,739.392699,0.944262
45,350,318,668,737.100362,0.944627
45,353,310,663,737.911204,0.938312
45,345,315,660,733.382809,0.939405
45,350,310,660,735.865150,0.934791
45,352,319,671,737.840166,0.947905
45,350,318,668,739.577844,0.941712
45,350,323,673,735.521566,0.952277
45,355,317,672,740.918463,0.944505
45,355,312,667,736.984436,0.943898
45,352,310,662,736.997431,0.936612
45,353,306,659,737.345788,0.935033
45,357,318,675,738.982319,0.951791
45,349,311,660,730.524194,0.941469
