NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
2,29,0,29,44.974576,0.658470
2,27,0,27,43.342105,0.650273
2,28,0,28,43.982833,0.653005
2,29,0,29,44.596639,0.658470
2,35,0,35,52.073171,0.691257
2,28,0,28,44.751092,0.655738
2,31,0,31,46.884298,0.669399
2,28,0,28,43.423729,0.653005
2,33,0,33,49.297959,0.680328
2,28,0,28,44.363636,0.658470
2,32,0,32,48.396694,0.674863
2,33,0,33,49.297959,0.685792
2,27,0,27,42.965217,0.650273
2,30,0,30,46.525424,0.663934
2,28,0,28,43.794872,0.658470
2,28,0,28,43.982833,0.653005
2,28,0,28,44.172414,0.655738
2,30,0,30,46.723404,0.663934
2,27,0,27,42.594828,0.647541
2,33,0,33,49.297959,0.680328
3,43,0,43,71.753799,0.610200
3,43,0,43,71.972561,0.606557
3,43,0,43,69.843195,0.633880
3,42,0,42,70.085106,0.610200
3,42,0,42,72.056250,0.604736
3,44,0,44,72.107463,0.619308
3,49,0,49,75.777465,0.670310
3,36,0,36,63.549839,0.588342
3,41,0,41,67.594595,0.619308
3,48,0,48,75.942363,0.653916
3,45,0,45,72.876106,0.630237
3,44,0,44,71.047059,0.632058
3,44,0,44,72.323353,0.632058
3,43,0,43,70.891892,0.622951
3,46,0,46,74.937685,0.633880
3,51,0,51,79.317280,0.663024
3,46,0,46,73.842105,0.632058
3,44,0,44,71.679525,0.637523
3,40,0,40,67.569231,0.601093
3,37,0,37,65.951299,0.588342
4,110,0,110,119.821429,0.935792
4,106,0,106,119.740741,0.911202
4,113,0,113,122.000000,0.939891
4,104,0,104,116.225954,0.924863
4,113,0,113,121.106881,0.946721
4,97,0,97,109.913313,0.904372
4,99,0,99,112.527950,0.913934
4,106,0,106,115.464286,0.931694
4,107,0,107,119.214612,0.909836
4,108,0,108,116.258824,0.939891
4,98,0,98,108.855842,0.922131
4,103,0,103,115.284404,0.918033
4,106,0,106,117.385779,0.919399
4,114,0,114,126.436364,0.928962
4,120,0,120,131.497006,0.927596
4,112,0,112,120.742268,0.941257
4,103,0,103,115.638037,0.918033
4,103,0,103,115.993846,0.915301
4,108,0,108,117.468053,0.939891
4,116,0,116,125.238938,0.953552
5,51,18,69,98.648438,0.731148
5,52,15,67,98.879032,0.707104
5,50,12,62,100.585106,0.649180
5,51,15,66,97.718447,0.707104
5,53,12,65,100.976231,0.674317
5,53,13,66,100.315615,0.688525
5,50,17,67,93.168693,0.755191
5,55,15,70,103.977273,0.711475
5,57,11,68,109.735450,0.651366
5,53,12,65,101.320273,0.673224
5,57,11,68,105.457627,0.677596
5,55,12,67,110.658845,0.643716
5,58,10,68,113.747715,0.634973
5,50,19,69,96.095890,0.742077
5,49,13,62,97.641997,0.667760
5,50,16,66,95.857143,0.711475
5,49,12,61,97.408377,0.666667
5,49,17,66,92.907692,0.740984
5,51,12,63,97.869270,0.668852
5,63,16,79,109.688923,0.755191
6,81,13,94,133.867704,0.744991
6,94,9,103,151.195187,0.722222
6,83,12,95,142.890411,0.709472
6,91,10,101,149.659919,0.733151
6,89,13,102,144.884864,0.745902
6,105,14,119,160.913793,0.774135
6,88,13,101,150.472185,0.715847
6,95,9,104,151.047619,0.726776
6,83,13,96,144.394521,0.704007
6,77,14,91,137.250000,0.702186
6,88,10,98,148.214876,0.707650
6,94,13,107,156.023904,0.725865
6,96,7,103,162.491379,0.686703
6,82,15,97,142.387701,0.738616
6,90,8,98,149.036011,0.698543
6,99,6,105,162.609309,0.693078
6,95,6,101,153.385892,0.706740
6,88,11,99,147.692935,0.716758
6,93,8,101,154.454039,0.698543
6,82,16,98,144.048193,0.728597
7,90,35,125,164.062500,0.804840
7,90,28,118,160.294804,0.780640
7,97,28,125,167.319749,0.789227
7,93,34,127,167.545829,0.797814
7,90,24,114,162.260000,0.750976
7,94,33,127,168.238883,0.793911
7,83,36,119,157.804348,0.797034
7,99,32,131,171.937500,0.797034
7,91,45,136,170.465753,0.833724
7,90,24,114,164.452703,0.740047
7,102,35,137,171.719178,0.837627
7,90,36,126,162.871847,0.811866
7,90,38,128,161.385827,0.838407
7,88,41,129,161.533724,0.835285
7,88,38,126,160.443340,0.825137
7,104,29,133,177.471875,0.791569
7,83,36,119,158.460499,0.787666
7,103,28,131,173.717391,0.796253
7,88,44,132,162.744947,0.844653
7,98,29,127,170.174686,0.784543
8,90,64,154,181.672844,0.887978
8,95,66,161,186.770206,0.898907
8,90,68,158,181.992132,0.903005
8,91,69,160,182.857143,0.913934
8,92,69,161,183.427237,0.910519
8,94,65,159,183.288189,0.906421
8,92,64,156,185.527214,0.885246
8,90,67,157,182.709062,0.897541
8,91,61,152,184.823920,0.867486
8,96,65,161,184.865882,0.909153
8,90,66,156,184.776699,0.886612
8,92,70,162,183.993794,0.919399
8,93,70,163,189.993631,0.892077
8,89,70,159,182.856245,0.907104
8,89,62,151,183.455602,0.866120
8,91,67,158,182.422713,0.905055
8,91,64,155,183.443816,0.880464
8,94,69,163,186.869225,0.909836
8,91,62,153,181.223301,0.887978
8,97,50,147,186.166090,0.836066
9,95,70,165,194.249464,0.887067
9,96,71,167,193.288124,0.905889
9,96,69,165,194.527559,0.893746
9,95,72,167,190.213693,0.913175
9,95,71,166,194.869565,0.887067
9,99,68,167,199.890262,0.881603
9,97,69,166,194.869565,0.895568
9,96,70,166,194.315565,0.897389
9,97,65,162,196.620486,0.863388
9,96,71,167,197.450826,0.890103
9,95,71,166,195.008559,0.895568
9,99,70,169,197.266478,0.902854
9,99,76,175,196.338556,0.928355
9,95,70,165,194.806452,0.887067
9,95,76,171,193.831383,0.922283
9,95,75,170,194.033264,0.914997
9,94,74,168,190.038462,0.918640
