NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10,10,10,10.000000,10.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,0,0,0,NaN,0.000000
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,1239,0,1239,1464.036762,0.925877
225,2234,0,2234,2691.585955,0.871330
225,2221,0,2221,2688.826409,0.866594
225,2236,0,2236,2696.046736,0.870771
225,2234,0,2234,2691.034755,0.870528
225,2227,0,2227,2679.858696,0.872325
225,2238,0,2238,2686.970404,0.874341
225,2237,0,2237,2692.757850,0.871500
225,2238,0,2238,2683.058669,0.874803
225,2258,0,2258,2697.688893,0.876988
225,2218,0,2218,2685.510336,0.867080
225,2587,0,2587,3198.118263,0.842404
225,2605,0,2605,3211.691918,0.844882
225,2614,0,2614,3217.874013,0.845780
225,2611,0,2611,3221.983547,0.844882
225,2570,0,2570,3183.602094,0.840437
225,2585,0,2585,3199.007424,0.844372
225,2579,0,2579,3187.271513,0.843862
225,2607,0,2607,3219.749393,0.844542
225,2609,0,2609,3223.960115,0.844493
225,2576,0,2576,3209.477124,0.839393
225,2745,0,2745,3359.251471,0.851172
225,2736,0,2736,3346.248441,0.851706
225,2743,0,2743,3362.800721,0.851730
225,2734,0,2734,3352.965092,0.850128
225,2746,0,2746,3364.475094,0.851463
225,2760,0,2760,3376.203209,0.849617
225,2731,0,2731,3345.300321,0.850103
225,2728,0,2728,3348.199595,0.850759
225,2718,0,2718,3357.443074,0.844177
225,2753,0,2753,3376.467741,0.850735
225,2813,0,2813,3405.323700,0.860984
225,2804,0,2804,3417.943101,0.858045
225,2850,0,2850,3437.985234,0.860935
225,2857,0,2857,3446.530382,0.862611
225,2868,0,2868,3468.132159,0.862028
225,2848,0,2848,3445.667440,0.862271
225,2831,0,2831,3425.200547,0.860109
225,2851,0,2851,3455.693995,0.858701
225,2802,0,2802,3384.246575,0.862659
225,2806,0,2806,3399.048277,0.860546
225,2916,0,2916,3431.740361,0.882696
225,2881,0,2881,3427.086583,0.877936
225,2892,0,2892,3433.525562,0.878349
225,2883,0,2883,3436.514634,0.876648
225,2890,0,2890,3433.626212,0.875944
225,2900,0,2900,3458.180081,0.872010
225,2906,0,2906,3458.523860,0.875288
225,2901,0,2901,3449.482355,0.878276
225,2905,0,2905,3433.712502,0.881166
225,2912,0,2912,3445.349272,0.883254
225,2974,0,2974,3486.744021,0.888209
225,2978,0,2978,3460.787164,0.896879
225,2970,0,2970,3480.171604,0.891026
225,2948,0,2948,3449.386189,0.892216
225,2955,0,2955,3456.103536,0.891245
225,2925,0,2925,3431.054498,0.890152
225,2968,0,2968,3470.519410,0.893188
