NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,0.000000,8.000000,0,0,0,NaN,0.000000
45,1.000000,8.000000,69,86,155,304.200429,0.575349
45,1.000000,8.000000,69,87,156,305.725845,0.574742
45,1.000000,8.000000,69,85,154,301.232779,0.575956
45,1.000000,8.000000,69,83,152,304.332604,0.568792
45,1.000000,8.000000,69,86,155,304.563350,0.575228
45,1.000000,8.000000,69,87,156,304.927605,0.576078
45,1.000000,8.000000,69,87,156,309.333012,0.568792
45,1.000000,8.000000,69,84,153,305.814320,0.568306
45,1.000000,8.000000,69,85,154,304.049389,0.572920
45,1.000000,8.000000,69,85,154,304.049389,0.571220
45,2.000000,8.000000,212,217,429,601.125574,0.750213
45,2.000000,8.000000,196,221,417,599.824454,0.737219
45,2.000000,8.000000,202,220,422,594.249316,0.748027
45,2.000000,8.000000,199,211,410,597.901541,0.729569
45,2.000000,8.000000,196,216,412,600.074284,0.725197
45,2.000000,8.000000,202,218,420,601.094891,0.743898
45,2.000000,8.000000,207,212,419,598.831135,0.739891
45,2.000000,8.000000,203,223,426,602.768041,0.746205
45,2.000000,8.000000,198,215,413,599.621827,0.732605
45,2.000000,8.000000,203,216,419,611.676121,0.727505
45,3.000000,8.000000,209,223,432,653.475386,0.703825
45,3.000000,8.000000,216,232,448,656.221985,0.717668
45,3.000000,8.000000,231,239,470,666.859063,0.737826
45,3.000000,8.000000,211,228,439,654.091731,0.712204
45,3.000000,8.000000,213,231,444,653.968879,0.717668
45,3.000000,8.000000,212,228,440,658.321221,0.707347
45,3.000000,8.000000,221,232,453,652.177448,0.730540
45,3.000000,8.000000,218,233,451,640.894737,0.739041
45,3.000000,8.000000,216,229,445,652.407869,0.716818
45,3.000000,8.000000,216,226,442,652.657343,0.715726
45,4.000000,8.000000,249,255,504,700.732737,0.755070
