NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10.000000,10.000000,10,10,10,10.000000,10.000000
135,12.000000,0.000000,1832,0,1832,2107.644593,0.912083
135,12.000000,0.000000,1834,0,1834,2112.700270,0.911516
135,12.000000,0.000000,1851,0,1851,2121.107426,0.916373
135,12.000000,0.000000,1810,0,1810,2099.049430,0.907347
135,12.000000,0.000000,1817,0,1817,2094.972931,0.914552
135,12.000000,0.000000,1837,0,1837,2108.291601,0.914106
135,12.000000,0.000000,1871,0,1871,2159.854913,0.912487
135,12.000000,0.000000,1813,0,1813,2081.133956,0.915240
135,12.000000,0.000000,1822,0,1822,2099.757895,0.909856
135,12.000000,0.000000,1812,0,1812,2094.094588,0.909573
135,12.000000,1.000000,280,219,499,676.644986,0.895932
135,12.000000,1.000000,282,222,504,677.438520,0.896094
135,12.000000,1.000000,289,216,505,691.499002,0.892127
135,12.000000,1.000000,280,220,500,679.231277,0.895203
135,12.000000,1.000000,278,223,501,676.239141,0.897511
135,12.000000,1.000000,285,221,506,687.382052,0.896053
135,12.000000,1.000000,286,225,511,684.241463,0.900749
135,12.000000,1.000000,274,225,499,669.079783,0.895892
135,12.000000,1.000000,290,220,510,691.826817,0.900951
135,12.000000,1.000000,283,217,500,680.953693,0.896053
135,12.000000,2.000000,426,460,886,1069.564134,0.914633
135,12.000000,2.000000,414,468,882,1063.695875,0.916818
135,12.000000,2.000000,417,465,882,1064.787432,0.915037
135,12.000000,2.000000,422,463,885,1064.559597,0.917871
135,12.000000,2.000000,415,463,878,1060.372996,0.916980
135,12.000000,2.000000,426,466,892,1068.712900,0.921271
135,12.000000,2.000000,413,471,884,1060.980373,0.919004
135,12.000000,2.000000,409,469,878,1061.306879,0.913540
135,12.000000,2.000000,416,466,882,1064.683377,0.915604
135,12.000000,2.000000,412,468,880,1060.559052,0.916292
135,12.000000,3.000000,590,742,1332,1556.846288,0.912933
135,12.000000,3.000000,617,738,1355,1562.439907,0.922000
135,12.000000,3.000000,602,745,1347,1564.754549,0.917304
135,12.000000,3.000000,604,743,1347,1559.036543,0.920502
135,12.000000,3.000000,610,741,1351,1567.116865,0.917952
135,12.000000,3.000000,614,738,1352,1563.358764,0.919207
135,12.000000,3.000000,617,745,1362,1565.542735,0.924793
135,12.000000,3.000000,618,737,1355,1561.419609,0.923578
135,12.000000,3.000000,606,742,1348,1561.510761,0.918761
135,12.000000,3.000000,603,745,1348,1569.310589,0.914673
135,12.000000,4.000000,710,848,1558,1802.322064,0.914471
135,12.000000,4.000000,700,841,1541,1784.159949,0.912487
135,12.000000,4.000000,691,841,1532,1788.829757,0.906051
135,12.000000,4.000000,690,859,1549,1792.330336,0.914026
135,12.000000,4.000000,680,843,1523,1780.087761,0.904473
135,12.000000,4.000000,681,834,1515,1776.368059,0.902935
135,12.000000,4.000000,687,846,1533,1782.667216,0.909735
135,12.000000,4.000000,690,846,1536,1783.972545,0.911840
135,12.000000,4.000000,681,843,1524,1779.404509,0.906254
135,12.000000,4.000000,675,853,1528,1782.810995,0.905201
135,12.000000,5.000000,746,909,1655,1943.657302,0.898118
135,12.000000,5.000000,760,919,1679,1962.142621,0.899696
135,12.000000,5.000000,761,929,1690,1980.337239,0.900425
135,12.000000,5.000000,749,924,1673,1971.168686,0.895527
135,12.000000,5.000000,737,917,1654,1947.110931,0.894151
135,12.000000,5.000000,759,924,1683,1979.552228,0.898037
135,12.000000,5.000000,768,921,1689,1984.908429,0.897349
135,12.000000,5.000000,763,918,1681,1966.992138,0.899251
135,12.000000,5.000000,744,927,1671,1972.575258,0.892694
135,12.000000,5.000000,764,913,1677,1957.767933,0.901194
135,12.000000,6.000000,798,941,1739,2014.913939,0.905566
135,12.000000,6.000000,779,943,1722,2033.848544,0.892734
135,12.000000,6.000000,771,933,1704,2013.166276,0.889051
135,12.000000,6.000000,779,945,1724,2023.057047,0.896580
135,12.000000,6.000000,799,957,1756,2042.947021,0.903866
135,12.000000,6.000000,776,943,1719,2022.280714,0.896620
135,12.000000,6.000000,784,941,1725,2020.487626,0.896296
135,12.000000,6.000000,787,946,1733,2032.749264,0.894758
135,12.000000,6.000000,757,942,1699,2004.383506,0.894596
135,12.000000,6.000000,764,921,1685,1990.052825,0.892694
135,12.000000,7.000000,815,960,1775,2058.460076,0.905889
135,12.000000,7.000000,807,953,1760,2053.887577,0.902894
135,12.000000,7.000000,786,965,1751,2042.709307,0.900587
135,12.000000,7.000000,821,977,1798,2090.530403,0.902773
135,12.000000,7.000000,795,959,1754,2042.062677,0.901842
135,12.000000,7.000000,801,947,1748,2050.441100,0.897996
135,12.000000,7.000000,786,947,1733,2043.811581,0.892329
135,12.000000,7.000000,794,955,1749,2064.159222,0.893827
135,12.000000,7.000000,806,963,1769,2083.383944,0.893908
135,12.000000,7.000000,792,962,1754,2048.918152,0.899777
135,12.000000,8.000000,793,969,1762,2080.097960,0.893301
135,12.000000,8.000000,823,966,1789,2083.989296,0.903744
135,12.000000,8.000000,816,968,1784,2085.342796,0.900344
135,12.000000,8.000000,820,968,1788,2077.730009,0.900951
135,12.000000,8.000000,794,963,1757,2070.040774,0.893989
135,12.000000,8.000000,810,981,1791,2095.508170,0.899575
135,12.000000,8.000000,806,980,1786,2102.302744,0.892775
135,12.000000,8.000000,815,966,1781,2091.534202,0.894232
135,12.000000,8.000000,816,960,1776,2068.455591,0.901761
135,12.000000,8.000000,799,969,1768,2070.951591,0.898482
135,12.000000,9.000000,820,978,1798,2106.591577,0.895203
135,12.000000,9.000000,844,968,1812,2099.693246,0.905525
135,12.000000,9.000000,824,964,1788,2086.563061,0.899049
135,12.000000,9.000000,819,976,1795,2096.415402,0.897794
135,12.000000,9.000000,845,977,1822,2107.425909,0.907468
135,12.000000,9.000000,807,979,1786,2115.101385,0.888120
135,12.000000,9.000000,806,972,1778,2109.773775,0.885732
135,12.000000,9.000000,817,959,1776,2064.173880,0.905566
135,12.000000,9.000000,823,962,1785,2082.176921,0.899899
135,12.000000,9.000000,834,971,1805,2098.274280,0.899373
135,12.000000,10.000000,840,989,1829,2114.235682,0.907387
135,12.000000,10.000000,831,972,1803,2109.448522,0.895122
135,12.000000,10.000000,820,954,1774,2070.029756,0.903380
135,12.000000,10.000000,829,962,1791,2079.357818,0.905687
135,12.000000,10.000000,841,984,1825,2108.132277,0.911597
135,12.000000,10.000000,833,966,1799,2077.418669,0.909249
135,12.000000,10.000000,838,963,1801,2084.404807,0.905970
135,12.000000,10.000000,836,968,1804,2091.207770,0.904108
135,12.000000,10.000000,839,979,1818,2113.287065,0.902651
135,12.000000,10.000000,836,982,1818,2119.370045,0.897996
135,12.000000,11.000000,839,977,1816,2111.359593,0.904675
135,12.000000,11.000000,813,962,1775,2074.233716,0.899211
135,12.000000,11.000000,834,972,1806,2119.482685,0.897227
135,12.000000,11.000000,845,954,1799,2089.824376,0.905404
135,12.000000,11.000000,858,958,1816,2111.061547,0.904230
135,12.000000,11.000000,835,967,1802,2091.833944,0.900304
135,12.000000,11.000000,823,954,1777,2072.747167,0.901963
135,12.000000,11.000000,832,973,1805,2105.009677,0.900749
135,12.000000,11.000000,843,980,1823,2103.756306,0.907306
