NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,10,10,10,10.000000,10.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,0,0,NaN,0.000000
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,369,369,549.000000,0.838798
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,918,918,1098.000000,0.920765
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1467,1467,1647.000000,0.948087
180,0,1706,1706,2059.278097,0.871372
180,0,1719,1719,2069.056163,0.873345
180,0,1710,1710,2064.030781,0.870735
180,0,1722,1722,2070.019707,0.874681
180,0,1710,1710,2061.764275,0.872040
180,0,1712,1712,2069.174433,0.871645
180,0,1720,1720,2065.580225,0.875622
180,0,1712,1712,2064.704719,0.873103
180,0,1713,1713,2069.623680,0.871281
180,0,1709,1709,2069.344949,0.868731
180,0,1922,1922,2389.623311,0.840953
180,0,1958,1958,2417.320190,0.845568
180,0,1947,1947,2401.219814,0.845264
180,0,1932,1932,2395.636364,0.841712
180,0,1942,1942,2411.667484,0.840710
180,0,1937,1937,2411.367347,0.838767
180,0,1933,1933,2397.056808,0.842927
180,0,1957,1957,2423.442857,0.843534
180,0,1924,1924,2413.058178,0.837250
180,0,1949,1949,2417.899217,0.841135
180,0,2048,2048,2553.217773,0.836946
180,0,2025,2025,2527.700936,0.838100
180,0,2046,2046,2546.002796,0.838494
180,0,2049,2049,2552.725416,0.836157
180,0,2031,2031,2550.266458,0.831208
180,0,2078,2078,2578.905885,0.838950
180,0,2048,2048,2565.159132,0.832514
180,0,2085,2085,2582.339450,0.840893
180,0,2045,2045,2567.747961,0.829296
180,0,2033,2033,2563.919752,0.825865
180,0,2108,2108,2614.266029,0.839769
180,0,2114,2114,2630.620679,0.833637
180,0,2118,2118,2631.621591,0.839010
180,0,2099,2099,2611.954970,0.835792
180,0,2105,2105,2626.664899,0.835974
180,0,2092,2092,2610.739913,0.836460
180,0,2128,2128,2644.844735,0.839800
180,0,2131,2131,2657.698773,0.835974
180,0,2090,2090,2617.964026,0.834032
180,0,2110,2110,2624.651637,0.838494
180,0,2153,2153,2650.019431,0.844991
180,0,2189,2189,2701.092339,0.844353
180,0,2172,2172,2695.361664,0.841439
180,0,2174,2174,2694.797923,0.840437
180,0,2154,2154,2666.895696,0.844930
180,0,2186,2186,2700.121494,0.840619
180,0,2131,2131,2669.219713,0.830996
180,0,2133,2133,2669.998860,0.834912
180,0,2186,2186,2692.951868,0.846934
180,0,2155,2155,2682.653717,0.838342
180,0,2212,2212,2721.012772,0.844900
180,0,2202,2202,2718.253635,0.845203
180,0,2193,2193,2702.181573,0.847268
180,0,2201,2201,2720.281405,0.846600
180,0,2208,2208,2723.211023,0.844444
180,0,2186,2186,2698.603605,0.843443
180,0,2179,2179,2689.458183,0.846296
180,0,2192,2192,2726.446400,0.840407
180,0,2235,2235,2731.454755,0.851791
180,0,2202,2202,2716.217795,0.845962
180,0,2228,2228,2714.139053,0.856072
180,0,2234,2234,2712.720168,0.856952
180,0,2238,2238,2737.050568,0.852884
180,0,2301,2301,2788.731741,0.856254
