NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
50,409,386,795,841.342817,0.980546
50,403,389,792,835.269710,0.982077
50,403,382,785,832.396570,0.982186
50,395,376,771,815.283717,0.982404
50,409,388,797,839.961990,0.982732
50,402,377,779,826.609069,0.978142
50,405,386,791,836.722543,0.982514
50,404,389,793,838.741186,0.981530
50,403,383,786,826.845252,0.984262
50,404,383,787,836.261758,0.977596
50,403,377,780,828.150383,0.980219
50,404,382,786,833.167285,0.980109
50,402,380,782,827.297954,0.980765
50,407,388,795,840.856548,0.981311
50,403,379,782,829.311544,0.980656
50,407,378,785,834.524224,0.979016
50,402,381,783,828.260116,0.981202
50,406,381,787,833.744356,0.981421
50,407,385,792,836.909574,0.981530
50,405,386,791,834.985002,0.984044
50,411,387,798,845.006365,0.980984
50,405,387,792,835.462301,0.984044
50,404,382,786,831.241331,0.981093
50,402,384,786,831.241331,0.980437
50,404,388,792,841.574730,0.976393
50,408,375,783,834.433962,0.977268
50,405,387,792,835.944169,0.980109
50,403,382,785,829.416859,0.981093
50,404,382,786,831.914401,0.979781
50,402,380,782,830.273845,0.977923
50,397,384,781,824.904767,0.981858
50,399,385,784,824.362216,0.983169
50,409,390,799,845.771634,0.980656
50,403,378,781,831.334342,0.977158
50,410,387,797,843.166840,0.982514
50,406,382,788,837.129920,0.979126
50,407,382,789,837.803180,0.978689
50,408,384,792,840.403572,0.978579
50,410,386,796,842.108914,0.981858
50,402,380,782,829.888657,0.977814
50,406,381,787,834.904348,0.979126
50,404,381,785,828.173642,0.982951
50,409,388,797,842.387663,0.981530
50,410,390,800,844.777842,0.980765
50,404,385,789,831.434988,0.982951
50,400,375,775,823.989077,0.976721
50,412,390,802,844.550581,0.983279
50,405,382,787,836.358885,0.980219
50,400,376,776,824.764781,0.977486
50,403,384,787,831.434015,0.982077
50,406,384,790,832.872451,0.983716
50,408,382,790,836.535123,0.981093
50,400,382,782,825.675052,0.980109
50,409,388,797,842.095843,0.981421
50,408,387,795,842.122019,0.979891
50,408,385,793,837.192800,0.981093
50,409,389,798,844.517696,0.982951
50,402,385,787,829.136442,0.983279
50,399,371,770,820.484453,0.976612
50,414,385,799,848.421724,0.976831
50,395,381,776,816.795123,0.985464
50,412,388,800,848.400556,0.981421
50,400,380,780,826.519977,0.980656
50,404,383,787,832.010399,0.980874
50,407,384,791,835.177706,0.980000
50,403,384,787,828.373404,0.985464
50,401,375,776,824.668990,0.978361
50,410,387,797,845.317028,0.979891
50,404,386,790,833.544742,0.983716
50,401,380,781,826.049012,0.983169
50,404,382,786,831.433526,0.979563
50,411,386,797,845.415024,0.981202
50,406,383,789,836.153579,0.981749
50,407,384,791,838.856050,0.980109
50,405,386,791,833.926720,0.984590
50,406,385,791,837.303332,0.982077
50,408,390,798,841.306602,0.983060
50,402,372,774,824.170837,0.976503
50,402,381,783,827.494802,0.981749
50,410,382,792,838.264893,0.978798
50,406,385,791,836.819285,0.980874
50,407,385,792,835.751355,0.982951
50,401,376,777,825.444096,0.978907
50,406,383,789,834.799954,0.978798
50,407,385,792,839.624609,0.978033
50,402,382,784,827.404844,0.980765
50,407,383,790,837.407322,0.983169
50,411,390,801,848.084934,0.981311
50,406,380,786,834.908289,0.979563
50,400,383,783,830.660870,0.980109
50,407,382,789,835.669638,0.980437
50,408,382,790,840.816564,0.978142
50,406,383,789,838.094962,0.979781
50,409,381,790,839.352067,0.977596
50,409,383,792,843.043276,0.976503
50,410,389,799,844.501559,0.981530
50,414,388,802,847.378753,0.982951
50,409,385,794,841.647359,0.981530
50,404,385,789,833.546935,0.982514
50,407,387,794,842.037552,0.979672
50,406,384,790,836.535123,0.980000
50,410,391,801,844.761411,0.982514
50,403,382,785,831.914524,0.981639
50,406,384,790,834.218119,0.981093
50,403,384,787,832.491329,0.981093
50,409,383,792,838.555890,0.981311
50,407,384,791,836.142560,0.980109
50,407,388,795,838.723625,0.982404
50,407,383,790,837.698459,0.981311
50,400,377,777,825.731707,0.977923
50,400,385,785,827.315135,0.983388
50,409,388,797,843.264339,0.982186
50,410,386,796,844.550093,0.980984
50,410,388,798,845.299838,0.980000
50,407,387,794,842.330435,0.980109
50,407,384,791,836.045974,0.980328
50,403,375,778,832.109877,0.972022
50,411,394,805,845.374727,0.982732
50,401,378,779,825.747220,0.978798
50,404,387,791,836.142560,0.983716
50,410,382,792,841.574730,0.977923
50,412,388,800,846.242775,0.979891
50,409,386,795,841.634849,0.979454
50,405,383,788,836.159109,0.978907
50,406,382,788,833.934768,0.981967
50,410,389,799,844.989598,0.979454
50,406,385,791,834.311239,0.983934
50,404,380,784,831.914647,0.977596
50,404,382,786,830.473441,0.982186
50,407,383,790,833.160443,0.982186
50,411,385,796,843.278916,0.979016
50,407,381,788,834.997105,0.977705
50,412,385,797,844.631689,0.981421
50,403,390,793,836.710101,0.981530
50,411,386,797,844.925269,0.979235
50,410,382,792,841.086351,0.979891
50,413,387,800,846.536371,0.982186
50,410,386,796,839.198064,0.983060
50,406,386,792,834.884793,0.981311
50,406,387,793,839.032146,0.982623
50,413,382,795,845.449791,0.976721
50,405,384,789,832.969886,0.982732
50,410,380,790,842.089935,0.976175
50,405,380,785,832.203684,0.980328
50,405,382,787,833.069181,0.979454
50,402,380,782,831.528181,0.977814
50,401,383,784,828.073416,0.981421
50,404,378,782,832.883250,0.977268
50,404,387,791,834.503632,0.983825
50,407,384,791,835.756351,0.979672
50,405,384,789,835.959935,0.981967
