NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100.000000,100.000000,100,100,100,100.000000,100.000000
180,12.000000,8.000000,1104,1242,2346,2746.560989,0.898573
180,12.000000,8.000000,1144,1259,2403,2779.507690,0.907529
180,12.000000,8.000000,1102,1254,2356,2740.444225,0.904675
180,12.000000,8.000000,1116,1265,2381,2761.721892,0.906861
180,12.000000,8.000000,1141,1276,2417,2776.785017,0.911141
180,12.000000,8.000000,1155,1259,2414,2773.822165,0.913418
180,12.000000,8.000000,1123,1267,2390,2758.272020,0.911566
180,12.000000,8.000000,1159,1273,2432,2785.275016,0.912295
180,12.000000,8.000000,1134,1258,2392,2789.509311,0.903248
180,12.000000,8.000000,1106,1252,2358,2749.275096,0.904706
180,12.000000,8.000000,1140,1267,2407,2785.895292,0.905222
180,12.000000,8.000000,1143,1268,2411,2791.603923,0.906922
180,12.000000,8.000000,1121,1275,2396,2773.066301,0.909654
180,12.000000,8.000000,1129,1274,2403,2780.581726,0.907104
180,12.000000,8.000000,1130,1262,2392,2759.226782,0.909775
180,12.000000,8.000000,1097,1239,2336,2713.539514,0.904189
180,12.000000,8.000000,1124,1261,2385,2767.628408,0.903734
180,12.000000,8.000000,1133,1268,2401,2786.195308,0.904372
180,12.000000,8.000000,1108,1253,2361,2732.270236,0.907134
180,12.000000,8.000000,1121,1268,2389,2771.489047,0.903491
180,12.000000,8.000000,1126,1257,2383,2745.672112,0.910686
180,12.000000,8.000000,1127,1263,2390,2762.239921,0.906770
180,12.000000,8.000000,1123,1253,2376,2755.631294,0.906861
180,12.000000,8.000000,1123,1278,2401,2783.547672,0.906527
180,12.000000,8.000000,1139,1267,2406,2790.129907,0.906588
180,12.000000,8.000000,1101,1257,2358,2769.962555,0.897602
180,12.000000,8.000000,1123,1260,2383,2775.868873,0.899120
180,12.000000,8.000000,1106,1256,2362,2736.985260,0.907377
180,12.000000,8.000000,1103,1243,2346,2739.744735,0.903430
180,12.000000,8.000000,1144,1277,2421,2791.896793,0.911233
180,12.000000,8.000000,1136,1267,2403,2780.874789,0.908743
180,12.000000,8.000000,1123,1269,2392,2764.551419,0.908257
180,12.000000,8.000000,1137,1259,2396,2771.118992,0.907681
180,12.000000,8.000000,1121,1257,2378,2753.781684,0.907802
180,12.000000,8.000000,1126,1264,2390,2758.658631,0.906466
180,12.000000,8.000000,1132,1279,2411,2788.271601,0.906011
180,12.000000,8.000000,1126,1255,2381,2761.235741,0.906072
180,12.000000,8.000000,1123,1252,2375,2750.404303,0.909138
180,12.000000,8.000000,1095,1243,2338,2717.108383,0.906041
180,12.000000,8.000000,1145,1275,2420,2771.917380,0.913358
180,12.000000,8.000000,1119,1263,2382,2753.090526,0.908349
180,12.000000,8.000000,1115,1263,2378,2773.968411,0.902550
180,12.000000,8.000000,1115,1278,2393,2787.616084,0.903947
180,12.000000,8.000000,1105,1253,2358,2737.839972,0.904584
180,12.000000,8.000000,1127,1261,2388,2758.379914,0.909775
180,12.000000,8.000000,1131,1243,2374,2745.289100,0.909138
180,12.000000,8.000000,1113,1250,2363,2750.528994,0.901518
180,12.000000,8.000000,1133,1280,2413,2792.447302,0.907923
180,12.000000,8.000000,1130,1268,2398,2770.319503,0.909532
180,12.000000,8.000000,1118,1267,2385,2762.664838,0.906436
180,12.000000,8.000000,1124,1268,2392,2754.885494,0.911141
180,12.000000,8.000000,1140,1262,2402,2780.596732,0.907863
180,12.000000,8.000000,1136,1260,2396,2779.120392,0.905677
180,12.000000,8.000000,1112,1266,2378,2762.912067,0.903977
180,12.000000,8.000000,1107,1268,2375,2782.688340,0.899271
180,12.000000,8.000000,1118,1257,2375,2754.374538,0.904766
180,12.000000,8.000000,1126,1254,2380,2750.199958,0.909077
180,12.000000,8.000000,1129,1266,2395,2786.890632,0.904038
180,12.000000,8.000000,1109,1249,2358,2739.481536,0.903855
180,12.000000,8.000000,1122,1273,2395,2779.428551,0.905586
180,12.000000,8.000000,1110,1252,2362,2764.605053,0.901548
