NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100,100,100,100.000000,100.000000
90,672,638,1310,1458.113131,0.936126
90,650,639,1289,1440.286974,0.935155
90,652,624,1276,1431.881175,0.933819
90,656,637,1293,1441.431569,0.937401
90,661,628,1289,1449.728899,0.931815
90,646,627,1273,1420.289256,0.937219
90,659,648,1307,1454.577336,0.934426
90,661,648,1309,1456.901608,0.933940
90,673,636,1309,1462.535106,0.933940
90,648,625,1273,1437.229915,0.923437
90,661,635,1296,1450.273135,0.935033
90,662,637,1299,1441.388533,0.943473
90,672,634,1306,1457.403618,0.933212
90,665,644,1309,1453.267947,0.937887
90,661,612,1273,1449.852016,0.920583
90,662,628,1290,1443.656995,0.931269
90,660,630,1290,1442.774684,0.931694
90,658,626,1284,1428.594204,0.935276
90,658,647,1305,1455.006093,0.938980
90,661,637,1298,1447.397427,0.939891
90,652,639,1291,1446.151806,0.932423
90,669,623,1292,1454.394095,0.928840
90,656,635,1291,1449.997954,0.930844
90,660,640,1300,1456.332472,0.928476
90,667,633,1300,1455.441506,0.931269
90,650,636,1286,1439.376147,0.933273
90,651,639,1290,1438.281885,0.935033
90,670,640,1310,1456.833221,0.937401
90,652,627,1279,1438.678459,0.931087
90,654,622,1276,1437.562077,0.926230
90,675,646,1321,1479.656556,0.932483
90,672,632,1304,1457.640831,0.934244
90,661,636,1297,1447.948892,0.931148
90,658,634,1292,1438.077989,0.937037
90,659,642,1301,1450.644506,0.938616
90,658,629,1287,1436.882457,0.935883
90,663,643,1306,1461.662136,0.934791
90,651,626,1277,1428.041146,0.934912
90,642,633,1275,1424.740484,0.935580
90,655,640,1295,1449.548049,0.936794
90,665,632,1297,1452.280237,0.932726
90,650,637,1287,1432.803163,0.937583
90,651,638,1289,1436.000406,0.939284
90,663,627,1290,1463.848698,0.923497
90,659,625,1284,1438.212731,0.930723
90,665,638,1303,1451.302495,0.935276
90,663,643,1306,1451.796706,0.936005
90,635,624,1259,1407.625416,0.932665
90,658,633,1291,1455.456910,0.929265
90,662,641,1303,1450.125684,0.938312
90,650,618,1268,1429.527004,0.925562
90,654,633,1287,1431.641902,0.938312
90,671,646,1317,1470.974502,0.929022
90,670,646,1316,1467.767319,0.936612
90,659,629,1288,1440.635654,0.933637
90,669,638,1307,1462.880734,0.934851
90,663,637,1300,1439.588516,0.938009
90,673,643,1316,1476.667121,0.930115
90,662,639,1301,1461.030274,0.932362
90,662,636,1298,1451.919315,0.933333
90,655,632,1287,1447.677230,0.929933
90,649,616,1265,1419.634096,0.928172
90,661,625,1286,1440.942921,0.931633
90,654,642,1296,1457.601748,0.929751
90,653,630,1283,1439.932538,0.930905
90,664,636,1300,1455.342577,0.932544
90,652,630,1282,1432.368225,0.935580
90,660,652,1312,1454.637496,0.942259
90,655,629,1284,1439.779412,0.930662
90,668,640,1308,1454.805511,0.939041
90,666,635,1301,1454.583531,0.936916
90,658,630,1288,1449.594096,0.925683
90,663,631,1294,1452.179068,0.932605
90,653,637,1290,1450.160399,0.931330
90,665,614,1279,1442.915953,0.928597
90,649,626,1275,1432.515861,0.928294
90,665,652,1317,1470.376220,0.935883
90,662,634,1296,1451.357857,0.935398
90,665,646,1311,1464.372330,0.933273
90,672,646,1318,1473.090391,0.933212
90,656,641,1297,1446.772096,0.935944
90,669,639,1308,1459.932231,0.934487
90,654,628,1282,1435.777234,0.933880
90,666,638,1304,1449.475602,0.936126
90,663,646,1309,1457.985393,0.936855
90,651,639,1290,1447.887420,0.931937
90,657,638,1295,1445.226318,0.933333
90,647,630,1277,1429.691387,0.933576
90,663,632,1295,1460.966505,0.926047
90,672,650,1322,1479.870863,0.930905
90,671,638,1309,1453.267947,0.938191
90,657,618,1275,1435.355434,0.924165
90,666,628,1294,1442.253502,0.939466
90,654,641,1295,1451.224740,0.933940
90,663,646,1309,1457.591103,0.933212
90,658,631,1289,1451.711570,0.927201
90,658,633,1291,1437.839464,0.933940
90,643,630,1273,1422.409091,0.930844
90,652,634,1286,1431.399608,0.938676
90,668,632,1300,1462.500000,0.927444
