NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100,100,100,100.000000,100.000000
135,894,946,1840,2065.297592,0.931188
135,902,948,1850,2071.533790,0.931228
135,882,937,1819,2049.735222,0.929731
135,900,936,1836,2058.750000,0.929974
135,887,940,1827,2057.342404,0.930217
135,914,934,1848,2066.577947,0.931674
135,895,933,1828,2051.082750,0.932159
135,918,938,1856,2087.619741,0.930176
135,890,931,1821,2043.785435,0.935074
135,898,939,1837,2061.742913,0.932483
135,902,945,1847,2073.060515,0.931067
135,894,936,1830,2063.259858,0.929528
135,893,936,1829,2057.343942,0.930419
135,910,937,1847,2070.802587,0.932321
135,901,938,1839,2063.987598,0.932645
135,895,938,1833,2060.529872,0.930945
135,900,943,1843,2061.733155,0.933738
135,902,947,1849,2066.293256,0.933212
135,902,925,1827,2048.286213,0.933212
135,895,934,1829,2054.257365,0.931471
135,897,946,1843,2070.263948,0.931471
135,911,937,1848,2076.258129,0.932645
135,894,937,1831,2048.865613,0.931269
135,881,947,1828,2051.175910,0.930621
135,891,944,1835,2059.404670,0.931309
135,888,945,1833,2056.132628,0.930986
135,898,932,1830,2056.596006,0.931998
135,888,937,1825,2066.203428,0.924104
135,911,942,1853,2071.794216,0.934952
135,905,936,1841,2067.171394,0.931633
135,896,942,1838,2065.304739,0.932929
135,900,934,1834,2067.203668,0.929002
135,910,939,1849,2065.639188,0.934021
135,910,935,1845,2061.543419,0.934143
135,909,940,1849,2070.789474,0.934264
135,890,936,1826,2057.717010,0.929245
135,890,927,1817,2054.415789,0.926533
135,889,945,1834,2056.507353,0.931755
135,886,946,1832,2058.937312,0.930217
135,904,931,1835,2064.469010,0.932443
135,892,937,1829,2061.191725,0.927100
135,887,928,1815,2050.934227,0.928476
135,889,942,1831,2063.069187,0.930419
135,894,935,1829,2058.750000,0.928719
135,895,938,1833,2068.152402,0.928314
135,900,927,1827,2052.197645,0.930743
135,892,936,1828,2055.096246,0.930702
135,892,943,1835,2056.881806,0.932564
135,909,933,1842,2062.108483,0.934831
135,912,942,1854,2078.084933,0.931795
135,894,933,1827,2051.731215,0.932281
135,911,938,1849,2071.540746,0.934871
135,887,953,1840,2066.987996,0.932038
135,886,941,1827,2065.060850,0.925764
135,885,938,1823,2042.874671,0.932159
135,905,943,1848,2067.513812,0.933576
135,913,947,1860,2076.801049,0.934102
135,891,940,1831,2059.031135,0.929569
135,888,940,1828,2056.219096,0.932524
135,888,948,1836,2056.696291,0.933900
135,909,940,1849,2065.826022,0.933657
135,908,944,1852,2067.401383,0.936005
135,897,932,1829,2053.137268,0.930338
135,883,942,1825,2050.230776,0.931957
135,885,946,1831,2054.635492,0.932079
135,901,936,1837,2060.806693,0.932483
135,896,944,1840,2064.265928,0.929569
135,906,939,1845,2075.625000,0.930298
135,911,937,1848,2069.388088,0.935317
135,902,941,1843,2065.661691,0.932240
135,906,941,1847,2067.705954,0.932524
135,900,943,1843,2065.567981,0.931026
135,907,939,1846,2071.373484,0.931350
135,906,934,1840,2059.029759,0.931188
135,892,944,1836,2061.838265,0.931309
135,896,947,1843,2063.602021,0.930378
135,885,947,1832,2061.845018,0.929367
135,901,948,1849,2064.052460,0.934426
135,900,947,1847,2061.633534,0.935236
135,898,927,1825,2048.181756,0.931067
135,901,941,1842,2059.681814,0.933738
135,894,938,1832,2057.533300,0.933252
135,904,949,1853,2080.172900,0.931917
135,896,936,1832,2057.626841,0.934345
135,903,942,1845,2065.841416,0.933414
135,893,946,1839,2067.933318,0.930743
135,901,935,1836,2061.838265,0.932079
135,897,938,1835,2052.040331,0.933333
135,903,937,1840,2074.061231,0.929852
135,898,943,1841,2063.700939,0.932564
135,903,938,1841,2063.232852,0.932483
135,904,936,1840,2056.514658,0.935033
135,911,934,1845,2065.186217,0.933698
135,903,930,1833,2052.312033,0.934710
135,897,942,1839,2064.175148,0.930662
135,895,940,1835,2065.597804,0.928638
135,893,927,1820,2057.336994,0.927262
135,909,944,1853,2072.263139,0.933940
135,901,943,1844,2065.283344,0.931876
135,891,937,1828,2056.406357,0.930864
