NUM_CAMPS,MB_HOURS,OB_HOURS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100.000000,100.000000,100,100,100,100.000000,100.000000
45,12.000000,8.000000,268,313,581,684.580770,0.896175
45,12.000000,8.000000,276,301,577,686.150903,0.888525
45,12.000000,8.000000,268,309,577,684.076447,0.889496
45,12.000000,8.000000,262,309,571,679.310170,0.884396
45,12.000000,8.000000,269,305,574,680.128058,0.889375
45,12.000000,8.000000,273,317,590,689.855175,0.901639
45,12.000000,8.000000,268,306,574,684.164134,0.886339
45,12.000000,8.000000,270,312,582,690.799942,0.886339
45,12.000000,8.000000,279,303,582,684.779254,0.895811
45,12.000000,8.000000,267,302,569,688.974416,0.875774
45,12.000000,8.000000,269,303,572,684.057508,0.887067
45,12.000000,8.000000,268,312,580,687.435233,0.891075
45,12.000000,8.000000,263,311,574,687.247746,0.882210
45,12.000000,8.000000,269,307,576,681.811125,0.889375
45,12.000000,8.000000,268,304,572,681.484375,0.884153
45,12.000000,8.000000,271,308,579,689.624675,0.888403
45,12.000000,8.000000,270,308,578,689.231103,0.888767
45,12.000000,8.000000,269,308,577,681.036979,0.890710
45,12.000000,8.000000,273,307,580,690.416305,0.889132
45,12.000000,8.000000,258,309,567,677.192893,0.883667
45,12.000000,8.000000,270,309,579,688.529242,0.891318
45,12.000000,8.000000,272,306,578,682.315080,0.890832
45,12.000000,8.000000,260,306,566,675.508696,0.884760
45,12.000000,8.000000,279,306,585,692.265412,0.889617
45,12.000000,8.000000,273,309,582,693.699522,0.889375
45,12.000000,8.000000,271,304,575,687.046576,0.883910
45,12.000000,8.000000,267,311,578,685.064767,0.889982
45,12.000000,8.000000,268,310,578,685.360691,0.892653
45,12.000000,8.000000,266,306,572,685.052356,0.882574
45,12.000000,8.000000,270,305,575,685.455269,0.889253
45,12.000000,8.000000,279,306,585,695.463404,0.889982
45,12.000000,8.000000,263,303,566,675.998550,0.889496
